film,genres
Wings ,"action,drama,romance,war"
7th Heaven ,drama
The Racket ,"drama,fantasy,mystery,sci-fi,thriller"
Alibi ,"crime,thriller"
Hollywood Revue,
The Patriot ,"action,drama,history,war"
All Quiet on the Western Front ,"drama,war"
The Big House ,"action,comedy,crime"
Disraeli ,"crime,drama,thriller"
Cimarron ,"drama,western"
East Lynne ,
The Front Page ,"comedy,drama,romance"
Skippy ,"comedy,drama,romance"
Trader Horn ,
Grand Hotel ,"adventure,comedy,crime"
Arrowsmith ,
Bad Girl ,drama
The Champ ,"drama,sport"
Shanghai Express ,"adventure,comedy,crime,drama,romance"
Cavalcade ,"biography,drama"
42nd Street ,"comedy,drama,music,musical,romance"
A Farewell to Arms ,"drama,romance,war"
Little Women ,"drama,romance"
Smilin' Through ,"biography,documentary,history"
State Fair ,"comedy,drama,musical,romance"
The Barretts of Wimpole Street ,"biography,comedy,crime,drama"
Cleopatra ,"biography,drama,history,romance"
Imitation of Life ,drama
The Thin Man ,"comedy,crime,mystery,romance"
Mutiny on the Bounty ,"adventure,drama,history,romance"
Alice Adams ,"comedy,drama,romance"
Captain Blood ,"action,adventure,history,romance"
David Copperfield ,"comedy,drama"
The Informer ,"action,crime,drama,thriller"
Gone with the Wind ,"drama,romance,war"
"Goodbye, Mr. Chips ","drama,music"
Love Affair ,"comedy,drama,romance"
Of Mice and Men ,"drama,western"
Stagecoach ,"adventure,drama,western"
The Wizard of Oz ,"adventure,family,fantasy,musical"
Wuthering Heights ,"drama,romance"
Rebecca ,"drama,film-noir,mystery,romance,thriller"
Foreign Correspondent ,"action,romance,thriller,war"
The Grapes of Wrath ,drama
Kitty Foyle ,
The Letter ,"crime,drama,film-noir,mystery,romance"
Our Town ,"crime,mystery,thriller"
The Philadelphia Story ,"comedy,romance"
How Green Was My Valley ,"drama,family"
The Little Foxes ,drama
The Maltese Falcon ,"crime,film-noir,mystery,romance"
Sergeant York ,"biography,drama,history,romance,war"
Suspicion ,"action,biography,crime,thriller"
49th Parallel ,"drama,thriller,war"
The Magnificent Ambersons ,"action,adventure,drama,western"
The Pied Piper ,"horror,mystery,thriller"
Random Harvest ,
The Talk of the Town ,"comedy,drama,romance,thriller"
Wake Island ,
Casablanca ,"drama,romance,war"
For Whom the Bell Tolls ,"adventure,drama,history,romance,war"
Heaven Can Wait ,"comedy,fantasy,romance,sport"
The Human Comedy ,"comedy,drama,family,romance,war"
Madame Curie ,"biography,drama,music,romance"
The Song of Bernadette ,drama
Gaslight ,"comedy,drama,romance"
Wilson ,"comedy,drama"
The Lost Weekend ,"drama,film-noir"
Anchors Aweigh ,"comedy,fantasy,musical"
Mildred Pierce ,"crime,drama,film-noir,mystery,romance"
