,model_id,aucpr,auc,logloss,mean_per_class_error,rmse,mse,training_time_ms,predict_time_per_row_ms,algo
0,DeepLearning_grid_2_AutoML_1_20230608_132108_model_6,0.7069952047653896,0.8979591836734695,0.433621324602428,0.1622670807453416,0.309404403413727,0.0957310848518043,9232,0.096038,DeepLearning
1,DeepLearning_grid_3_AutoML_1_20230608_132108_model_14,0.6887669369911926,0.8839840283939664,0.3592816170667922,0.1622670807453416,0.2975170075627319,0.0885163697890827,17045,0.13667,DeepLearning
2,DeepLearning_grid_1_AutoML_1_20230608_132108_model_9,0.6882929653242665,0.896184560780834,0.3292304132496425,0.1863354037267081,0.3118387184264188,0.0972433863098313,8880,0.063583,DeepLearning
3,DeepLearning_grid_2_AutoML_1_20230608_132108_model_13,0.6849374351056852,0.9145962732919256,0.3040292978341699,0.1335403726708074,0.2953383632484141,0.0872247488062522,10378,0.064971,DeepLearning
4,DeepLearning_grid_3_AutoML_1_20230608_132108_model_6,0.6848451763580508,0.8797692990239574,0.3909628656229072,0.2593167701863354,0.3333336656032848,0.1111113326245225,11748,0.089005,DeepLearning
5,DeepLearning_grid_2_AutoML_1_20230608_132108_model_14,0.679179274120646,0.8793256433007987,0.4602217446313448,0.1545031055900621,0.3290706526364321,0.1082874944265673,10616,0.05466,DeepLearning
6,DeepLearning_grid_3_AutoML_1_20230608_132108_model_15,0.6780741520933198,0.8937444543034605,0.4236512001149419,0.1599378881987577,0.3198511595142121,0.1023047642425859,10343,0.049036,DeepLearning
7,DeepLearning_grid_1_AutoML_1_20230608_132108_model_11,0.6661385722040121,0.8764418811002662,0.4592315746060649,0.1886645962732919,0.3022059813950813,0.0913284551909642,6637,0.048662,DeepLearning
8,DeepLearning_grid_1_AutoML_1_20230608_132108_model_14,0.6661208711400199,0.8691215616681455,0.4844411511588058,0.2274844720496894,0.3328247522975224,0.1107723157419071,7916,0.060778,DeepLearning
9,DeepLearning_grid_2_AutoML_1_20230608_132108_model_8,0.6652633242646181,0.8735581188997338,0.4503207116368675,0.1956521739130434,0.3362393473771619,0.1130568987246197,41020,0.082039,DeepLearning
10,DeepLearning_grid_1_AutoML_1_20230608_132108_model_18,0.6575765879659075,0.8835403726708074,0.3630548995098431,0.218944099378882,0.3215916586045783,0.1034211948840436,5758,0.055889,DeepLearning
11,DeepLearning_grid_1_AutoML_1_20230608_132108_model_1,0.6553733986890071,0.8595829636202307,0.4685939989362561,0.1863354037267081,0.3256702750258421,0.1060611280354076,10515,0.052843,DeepLearning
12,DeepLearning_grid_2_AutoML_1_20230608_132108_model_7,0.6515681593181463,0.8682342502218278,0.3947377938774141,0.2072981366459627,0.3278754678009059,0.1075023223856628,10472,0.064519,DeepLearning
