,year,film,wiki,winner,worldwide_box_office
0,1927,Wings ,/wiki/Wings_(1927_film),True,$746
1,1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),False,"$79,808"
2,1927,The Racket ,/wiki/The_Racket_(1928_film),False,"$21,733,230"
3,1928,The Broadway Melody,/wiki/The_Broadway_Melody,True,"$223,723"
4,1928,Alibi ,/wiki/Alibi_(1929_film),False,"$42,915"
5,1928,In Old Arizona,/wiki/In_Old_Arizona,False,"$6,344"
6,1928,The Patriot ,/wiki/The_Patriot_(1928_film),False,"$215,294,342"
7,1929,The Love Parade,/wiki/The_Love_Parade,False,"$2,492,128"
8,1929,The Divorcee,/wiki/The_Divorcee,False,"$6,253"
9,1929,Disraeli ,/wiki/Disraeli_(1929_film),False,"$13,025,860"
10,1929,The Big House ,/wiki/The_Big_House_(1930_film),False,"$173,959,438"
11,1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,N/A
12,1930,Cimarron ,/wiki/Cimarron_(1931_film),True,N/A
13,1930,The Front Page ,/wiki/The_Front_Page_(1931_film),False,N/A
14,1930,Skippy ,/wiki/Skippy_(film),False,"$621,931"
15,1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,False,"$413,844"
16,1931,Shanghai Express ,/wiki/Shanghai_Express_(film),False,"$2,315,683"
17,1931,Five Star Final,/wiki/Five_Star_Final,False,"$3,039,022"
18,1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),False,"$193,221"
19,1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),True,"$173,082,189"
20,1931,The Champ ,/wiki/The_Champ_(1931_film),False,"$30,441,738"
21,1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,False,"$19,773"
22,1932,Cavalcade ,/wiki/Cavalcade_(1933_film),True,"$507,886"
23,1932,42nd Street ,/wiki/42nd_Street_(film),False,"$1,600"
24,1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),False,N/A
25,1932,I Am a Fugitive from a Chain Gang,/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,N/A
26,1932,Lady for a Day,/wiki/Lady_for_a_Day,False,"$383,872"
27,1932,Little Women ,/wiki/Little_Women_(1933_film),False,"$218,843,645"
28,1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),False,"$4,560"
29,1932,State Fair ,/wiki/State_Fair_(1933_film),False,N/A
30,1934,One Night of Love,/wiki/One_Night_of_Love,False,"$900,123"
31,1934,The Thin Man ,/wiki/The_Thin_Man_(film),False,N/A
32,1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),False,$365
33,1934,The White Parade,/wiki/The_White_Parade,False,"$2,492,128"
