year,film,wiki,genres
1927,Wings ,/wiki/Wings_(1927_film),"action,drama,romance,war"
1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),drama
1927,The Racket ,/wiki/The_Racket_(1928_film),"drama,fantasy,mystery,sci-fi,thriller"
1928,The Broadway Melody,/wiki/The_Broadway_Melody,"drama,musical,romance"
1928,Alibi ,/wiki/Alibi_(1929_film),"crime,thriller"
1928,In Old Arizona,/wiki/In_Old_Arizona,"short,western"
1928,The Patriot ,/wiki/The_Patriot_(1928_film),"action,drama,history,war"
1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),"drama,war"
1929,The Big House ,/wiki/The_Big_House_(1930_film),"action,comedy,crime"
1929,Disraeli ,/wiki/Disraeli_(1929_film),"crime,drama,thriller"
1929,The Divorcee,/wiki/The_Divorcee,"comedy,drama,western"
1929,The Love Parade,/wiki/The_Love_Parade,"comedy,musical,romance"
1930,Cimarron ,/wiki/Cimarron_(1931_film),"drama,western"
1930,The Front Page ,/wiki/The_Front_Page_(1931_film),"comedy,drama,romance"
1930,Skippy ,/wiki/Skippy_(film),"comedy,drama,romance"
1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),"adventure,comedy,crime"
1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),"drama,sport"
1931,The Champ ,/wiki/The_Champ_(1931_film),"drama,sport"
1931,Five Star Final,/wiki/Five_Star_Final,"crime,drama,music"
1931,One Hour with You,/wiki/One_Hour_with_You,"comedy,musical,romance"
1931,Shanghai Express ,/wiki/Shanghai_Express_(film),"adventure,comedy,crime,drama,romance"
1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,"comedy,musical,romance"
1932,Cavalcade ,/wiki/Cavalcade_(1933_film),"biography,drama"
1932,42nd Street ,/wiki/42nd_Street_(film),"comedy,drama,music,musical,romance"
1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),"drama,romance,war"
1932,I Am a Fugitive from a Chain Gang,/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,"crime,drama,film-noir"
1932,Lady for a Day,/wiki/Lady_for_a_Day,"comedy,drama"
1932,Little Women ,/wiki/Little_Women_(1933_film),"drama,romance"
1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,drama
1932,She Done Him Wrong,/wiki/She_Done_Him_Wrong,"comedy,drama,history"
1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),"biography,documentary,history"
1932,State Fair ,/wiki/State_Fair_(1933_film),"comedy,drama,musical,romance"
1934,It Happened One Night,/wiki/It_Happened_One_Night,"comedy,drama,family"
1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),"biography,comedy,crime,drama"
1934,Cleopatra ,/wiki/Cleopatra_(1934_film),"biography,drama,history,romance"
1934,Flirtation Walk,/wiki/Flirtation_Walk,musical
1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,"comedy,musical,romance"
1934,Here Comes the Navy,/wiki/Here_Comes_the_Navy,"comedy,drama,romance"
1934,The House of Rothschild,/wiki/The_House_of_Rothschild,"biography,drama,history"
1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),drama
1934,One Night of Love,/wiki/One_Night_of_Love,"comedy,music,romance"
1934,The Thin Man ,/wiki/The_Thin_Man_(film),"comedy,crime,mystery,romance"
1934,Viva Villa!,/wiki/Viva_Villa!,western
1934,The White Parade,/wiki/The_White_Parade,drama
1935,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1935_film),"adventure,drama,history,romance"
1935,Alice Adams ,/wiki/Alice_Adams_(1935_film),"comedy,drama,romance"
1935,Broadway Melody of 1936,/wiki/Broadway_Melody_of_1936,"comedy,music,musical"
1935,Captain Blood ,/wiki/Captain_Blood_(1935_film),"action,adventure,history,romance"
1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),"comedy,drama"
1935,The Informer ,/wiki/The_Informer_(1935_film),"action,crime,drama,thriller"
1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),[]
1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),[]
1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),"crime,drama,thriller"
1935,Ruggles of Red Gap,/wiki/Ruggles_of_Red_Gap,"comedy,music,mystery"
