,film,genres
0,Wings ,"action,drama,romance,war"
1,7th Heaven ,drama
2,The Racket ,"drama,fantasy,mystery,sci-fi,thriller"
3,The Broadway Melody,"Drama,Musical,Romance"
4,In Old Arizona,"Short,Western"
5,Alibi ,"crime,thriller"
6,The Patriot ,"action,drama,history,war"
7,The Love Parade,"Comedy,Musical,Romance"
8,The Divorcee,"Comedy,Drama,Western"
9,All Quiet on the Western Front ,"drama,war"
10,The Big House ,"action,comedy,crime"
11,Disraeli ,"crime,drama,thriller"
12,The Front Page ,"comedy,drama,romance"
13,Skippy ,"comedy,drama,romance"
14,Cimarron ,"drama,western"
15,Bad Girl ,"drama,sport"
16,The Smiling Lieutenant,"Comedy,Musical,Romance"
17,Grand Hotel ,"adventure,comedy,crime"
18,Five Star Final,"Crime,Drama,Music"
19,The Champ ,"drama,sport"
20,Shanghai Express ,"adventure,comedy,crime,drama,romance"
21,One Hour with You,"Comedy,Musical,Romance"
22,She Done Him Wrong,"Comedy,Drama,History"
23,State Fair ,"comedy,drama,musical,romance"
24,A Farewell to Arms ,"drama,romance,war"
25,42nd Street ,"comedy,drama,music,musical,romance"
26,Cavalcade ,"biography,drama"
27,I Am a Fugitive from a Chain Gang,"Crime,Drama,Film-Noir"
28,Lady for a Day,"Comedy,Drama"
29,Smilin' Through ,"biography,documentary,history"
30,Little Women ,"drama,romance"
31,The Private Life of Henry VIII,Drama
32,The House of Rothschild,"Biography,Drama,History"
33,One Night of Love,"Comedy,Music,Romance"
34,Flirtation Walk,Musical
35,The White Parade,Drama
36,Viva Villa!,Western
37,It Happened One Night,"Comedy,Drama,Family"
38,Here Comes the Navy,"Comedy,Drama,Romance"
39,The Gay Divorcee,"Comedy,Musical,Romance"
40,Cleopatra ,"biography,drama,history,romance"
41,Imitation of Life ,drama
42,The Thin Man ,"comedy,crime,mystery,romance"
43,The Barretts of Wimpole Street ,"biography,comedy,crime,drama"
44,Les Misérables ,"crime,drama,thriller"
45,Broadway Melody of 1936,"Comedy,Music,Musical"
46,The Informer ,"action,crime,drama,thriller"
47,David Copperfield ,"comedy,drama"
48,Top Hat,"Comedy,Musical,Romance"
49,Captain Blood ,"action,adventure,history,romance"
50,Ruggles of Red Gap,"Comedy,Music,Mystery"
51,Alice Adams ,"comedy,drama,romance"
52,Mutiny on the Bounty ,"adventure,drama,history,romance"
53,A Midsummer Night's Dream ,[]
54,The Lives of a Bengal Lancer ,[]
55,Libeled Lady,"Comedy,Romance"
56,Mr. Deeds Goes to Town,"Comedy,Drama,Romance"
57,Romeo and Juliet ,"drama,romance"
58,The Great Ziegfeld,"Biography,Documentary,History"
59,The Story of Louis Pasteur,"Biography,Drama,History"
60,Three Smart Girls,"Comedy,Musical,Romance"
61,A Tale of Two Cities ,"drama,horror,mystery,thriller"
62,Anthony Adverse,"Adventure,Drama,Romance"
63,San Francisco ,"drama,history,romance"
64,The Life of Emile Zola,"Comedy,Drama"
65,In Old Chicago,"Action,Drama,Musical"
66,The Awful Truth,"Action,Drama,Mystery"
67,Stage Door,"Comedy,Drama,Musical"
68,A Star Is Born ,"drama,music,romance"
69,Lost Horizon ,"drama,romance"
70,The Good Earth ,"drama,romance"
71,Dead End ,"horror,thriller"
72,One Hundred Men and a Girl,"Comedy,Drama,Music"
73,The Adventures of Robin Hood,"Action,Adventure,Family"
74,Boys Town ,"biography,drama,family,music"
75,The Citadel ,"drama,history,war"
76,Jezebel ,"drama,romance"
77,You Can't Take It with You ,"comedy,drama,romance"
78,La Grande Illusion,"Comedy,Romance"
79,Four Daughters,"Drama,Fantasy,Short"
80,Dark Victory,"Drama,Horror,Mystery"
81,The Wizard of Oz ,"adventure,family,fantasy,musical"
82,Gone with the Wind ,"drama,romance,war"
83,Ninotchka,"Comedy,Drama"
84,Mr. Smith Goes to Washington,"Documentary,Talk-Show"
85,"Goodbye, Mr. Chips ","drama,music"
86,Love Affair ,"comedy,drama,romance"
87,Wuthering Heights ,"drama,romance"
88,Of Mice and Men ,"drama,western"
89,Stagecoach ,"adventure,drama,western"
90,The Great Dictator,"Comedy,Drama,War"
91,Our Town ,"crime,mystery,thriller"
92,Foreign Correspondent ,"action,romance,thriller,war"
93,The Letter ,"crime,drama,film-noir,mystery,romance"
94,The Long Voyage Home,"Drama,War"
95,"All This, and Heaven Too","Drama,Romance"
96,The Philadelphia Story ,"comedy,romance"
97,The Grapes of Wrath ,drama
98,Rebecca ,"drama,film-noir,mystery,romance,thriller"
99,Citizen Kane,"Comedy,Short"
100,Hold Back the Dawn,"Drama,Romance"
101,Blossoms in the Dust,"Biography,Drama,Romance"
102,Here Comes Mr. Jordan,"Comedy,Fantasy,Romance"
103,Suspicion ,"crime,drama,mystery,thriller"
104,Sergeant York ,"biography,drama,history,romance,war"
105,One Foot in Heaven,"Biography,Drama,Romance"
106,The Little Foxes ,drama
107,How Green Was My Valley ,"drama,family"
108,The Maltese Falcon ,"crime,film-noir,mystery,romance"
109,Yankee Doodle Dandy,"Biography,Drama,Family"
110,49th Parallel ,"drama,thriller,war"
111,The Magnificent Ambersons ,"action,adventure,drama,western"
112,The Pied Piper ,"horror,mystery,thriller"
113,The Talk of the Town ,"comedy,drama,romance,thriller"
114,Kings Row,Drama
115,The Pride of the Yankees,"Biography,Drama,Romance"
116,Mrs. Miniver,"Drama,Romance,War"
117,Watch on the Rhine,"Adventure,Comedy,History"
118,In Which We Serve,"Drama,War"
119,The Ox-Bow Incident,"Drama,Western"
120,The Human Comedy ,"comedy,drama,family,romance,war"
121,Madame Curie ,"biography,drama,music,romance"
122,Heaven Can Wait ,"comedy,fantasy,romance,sport"
123,The More the Merrier,"Action,Adventure,Animation"
124,For Whom the Bell Tolls ,"adventure,drama,history,romance,war"
