,film,genres,rating,numVotes,year,wiki,winner,worldwide_box_office
0,Wings ,"action,drama,romance,war",7.3,13576.0,1927,/wiki/Wings_(1927_film),True,$746
1,7th Heaven ,drama,5.2,26223.0,1927,/wiki/7th_Heaven_(1927_film),False,"$79,808"
2,The Racket ,"drama,fantasy,mystery,sci-fi,thriller",6.7,3149.0,1927,/wiki/The_Racket_(1928_film),False,"$21,733,230"
3,The Broadway Melody,"Drama,Musical,Romance",5.6,7605.0,1928,/wiki/The_Broadway_Melody,True,"$223,723"
4,Alibi ,"crime,thriller",7.4,391.0,1928,/wiki/Alibi_(1929_film),False,"$42,915"
5,In Old Arizona,"Short,Western",5.5,1199.0,1928,/wiki/In_Old_Arizona,False,"$6,344"
6,The Patriot ,"action,drama,history,war",7.2,282275.0,1928,/wiki/The_Patriot_(1928_film),False,"$215,294,342"
7,All Quiet on the Western Front ,"drama,war",8.1,65386.0,1929,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,
8,All Quiet on the Western Front ,"drama,war",8.1,65386.0,2022,/wiki/All_Quiet_on_the_Western_Front_(2022_film),False,
15,The Big House ,"action,comedy,crime",6.8,4322.0,1929,/wiki/The_Big_House_(1930_film),False,"$173,959,438"
16,Disraeli ,"crime,drama,thriller",6.1,1318.0,1929,/wiki/Disraeli_(1929_film),False,"$13,025,860"
17,The Divorcee,"Comedy,Drama,Western",6.7,3366.0,1929,/wiki/The_Divorcee,False,"$6,253"
18,The Love Parade,"Comedy,Musical,Romance",7.0,2469.0,1929,/wiki/The_Love_Parade,False,"$2,492,128"
19,Cimarron ,"drama,western",6.4,3233.0,1930,/wiki/Cimarron_(1931_film),True,
20,The Front Page ,"comedy,drama,romance",7.3,14295.0,1930,/wiki/The_Front_Page_(1931_film),False,
21,Skippy ,"comedy,drama,romance",6.4,1108.0,1930,/wiki/Skippy_(film),False,"$621,931"
22,Grand Hotel ,"adventure,comedy,crime",8.1,836067.0,1931,/wiki/Grand_Hotel_(1932_film),True,"$173,082,189"
23,Bad Girl ,"drama,sport",5.4,809.0,1931,/wiki/Bad_Girl_(1931_film),False,"$193,221"
24,The Champ ,"drama,sport",6.8,8912.0,1931,/wiki/The_Champ_(1931_film),False,"$30,441,738"
25,Five Star Final,"Crime,Drama,Music",7.3,2346.0,1931,/wiki/Five_Star_Final,False,"$3,039,022"
26,Shanghai Express ,"adventure,comedy,crime,drama,romance",7.3,9618.0,1931,/wiki/Shanghai_Express_(film),False,"$2,315,683"
27,The Smiling Lieutenant,"Comedy,Musical,Romance",7.2,3952.0,1931,/wiki/The_Smiling_Lieutenant,False,"$413,844"
28,Cavalcade ,"biography,drama",5.8,5550.0,1932,/wiki/Cavalcade_(1933_film),True,"$507,886"
