,year,film,wiki,rating,numVotes,worldwide_box_office,action,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
0,1927,Wings ,/wiki/Wings_(1927_film),7.3,13576.0,$746,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),5.2,26223.0,"$79,808",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1927,The Racket ,/wiki/The_Racket_(1928_film),6.7,3149.0,"$21,733,230",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
3,1928,The Broadway Melody,/wiki/The_Broadway_Melody,5.6,7605.0,"$223,723",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
4,1928,Alibi ,/wiki/Alibi_(1929_film),7.4,391.0,"$42,915",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1928,In Old Arizona,/wiki/In_Old_Arizona,5.5,1199.0,"$6,344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,1928,The Patriot ,/wiki/The_Patriot_(1928_film),7.2,282275.0,"$215,294,342",1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,1929,The Big House ,/wiki/The_Big_House_(1930_film),6.8,4322.0,"$173,959,438",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1929,Disraeli ,/wiki/Disraeli_(1929_film),6.1,1318.0,"$13,025,860",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1929,The Divorcee,/wiki/The_Divorcee,6.7,3366.0,"$6,253",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,1929,The Love Parade,/wiki/The_Love_Parade,7.0,2469.0,"$2,492,128",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
11,1930,Skippy ,/wiki/Skippy_(film),6.4,1108.0,"$621,931",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),8.1,836067.0,"$173,082,189",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),5.4,809.0,"$193,221",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,1931,The Champ ,/wiki/The_Champ_(1931_film),6.8,8912.0,"$30,441,738",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,1931,Five Star Final,/wiki/Five_Star_Final,7.3,2346.0,"$3,039,022",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,1931,Shanghai Express ,/wiki/Shanghai_Express_(film),7.3,9618.0,"$2,315,683",0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
17,1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,7.2,3952.0,"$413,844",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
18,1932,Cavalcade ,/wiki/Cavalcade_(1933_film),5.8,5550.0,"$507,886",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1932,42nd Street ,/wiki/42nd_Street_(film),7.3,12549.0,"$1,600",0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
20,1932,Lady for a Day,/wiki/Lady_for_a_Day,7.4,4409.0,"$383,872",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1932,Little Women ,/wiki/Little_Women_(1933_film),7.8,218222.0,"$218,843,645",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,7.0,4580.0,"$19,773",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),6.9,1440.0,"$4,560",0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1934,It Happened One Night,/wiki/It_Happened_One_Night,8.1,106884.0,"$11,477",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),7.0,2001.0,"$406,878,233",0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,7.4,8252.0,"$6,253",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
27,1934,Here Comes the Navy,/wiki/Here_Comes_the_Navy,6.2,1097.0,"$73,100,172",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28,1934,The House of Rothschild,/wiki/The_House_of_Rothschild,6.5,1239.0,"$21,577,624",0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),7.8,17229.0,$365,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1934,One Night of Love,/wiki/One_Night_of_Love,5.7,684.0,"$900,123",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
31,1934,The White Parade,/wiki/The_White_Parade,7.0,101.0,"$2,492,128",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),7.7,4788.0,"$14,399,270",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1935,The Informer ,/wiki/The_Informer_(1935_film),6.6,39509.0,"$2,927,708",1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),7.0,3109.0,"$135,168",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),6.4,26194.0,"$24,711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),7.5,336046.0,"$54,465,930",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1935,Top Hat,/wiki/Top_Hat,7.7,19894.0,"$5,541",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
