,film,rating,numVotes
0,Wings ,7.3,13576.0
1,The Racket ,6.7,3149.0
2,7th Heaven ,5.2,26223.0
3,Alibi ,7.4,391.0
4,Hollywood Revue,5.8,2174.0
5,The Patriot ,7.2,282275.0
6,The Broadway Melody,5.6,7605.0
7,In Old Arizona,5.5,1199.0
8,The Divorcee,6.7,3366.0
9,All Quiet on the Western Front ,8.1,65386.0
10,The Big House ,6.8,4322.0
11,Disraeli ,6.1,1318.0
12,The Love Parade,7.0,2469.0
13,The Front Page ,7.3,14295.0
14,Cimarron ,6.4,3233.0
15,East Lynne ,7.0,41.0
16,Skippy ,6.4,1108.0
17,Trader Horn ,6.2,1058.0
18,Grand Hotel ,8.1,836067.0
19,Arrowsmith ,6.2,1836.0
20,The Champ ,6.8,8912.0
21,Shanghai Express ,7.3,9618.0
22,One Hour with You,7.1,2708.0
23,The Smiling Lieutenant,7.2,3952.0
24,Bad Girl ,5.4,809.0
25,Five Star Final,7.3,2346.0
26,Cavalcade ,5.8,5550.0
27,42nd Street ,7.3,12549.0
28,A Farewell to Arms ,6.4,6451.0
29,Little Women ,7.8,218222.0
30,Smilin' Through ,6.9,1440.0
31,State Fair ,7.0,4325.0
32,I Am a Fugitive from a Chain Gang,8.2,13840.0
33,She Done Him Wrong,6.3,6571.0
34,Lady for a Day,7.4,4409.0
35,The Private Life of Henry VIII,7.0,4580.0
36,The Barretts of Wimpole Street ,7.0,2001.0
37,It Happened One Night,8.1,106884.0
38,Flirtation Walk,5.6,788.0
39,The Gay Divorcee,7.4,8252.0
40,Here Comes the Navy,6.2,1097.0
41,The House of Rothschild,6.5,1239.0
42,One Night of Love,5.7,684.0
43,Imitation of Life ,7.8,17229.0
44,The White Parade,7.0,101.0
45,The Thin Man ,7.9,31222.0
46,Viva Villa!,6.4,1484.0
47,Broadway Melody of 1936,6.8,1922.0
48,Ruggles of Red Gap,7.6,4191.0
49,Top Hat,7.7,19894.0
50,Mutiny on the Bounty ,7.2,17072.0
51,Alice Adams ,6.9,4322.0
52,Captain Blood ,7.7,15076.0
53,David Copperfield ,7.7,4788.0
54,The Informer ,6.6,39509.0
55,The Lives of a Bengal Lancer ,7.0,3109.0
56,A Midsummer Night's Dream ,6.4,26194.0
57,Les Misérables ,7.5,336046.0
58,Naughty Marietta ,6.5,1453.0
59,Romeo and Juliet ,7.6,33417.0
60,San Francisco ,7.3,6371.0
61,A Tale of Two Cities ,7.8,5988.0
62,Mr. Deeds Goes to Town,7.8,22250.0
63,Libeled Lady,7.8,8492.0
64,Anthony Adverse,6.3,1927.0
65,Three Smart Girls,6.6,1455.0
66,The Great Ziegfeld,6.6,8565.0
67,Dodsworth ,7.8,9678.0
68,The Story of Louis Pasteur,7.3,2972.0
69,Lost Horizon ,7.6,13800.0
70,Dead End ,6.5,30273.0
71,The Good Earth ,7.5,5191.0
72,A Star Is Born ,7.6,396752.0
73,The Life of Emile Zola,7.2,8596.0
74,The Awful Truth,7.7,20443.0
75,In Old Chicago,6.7,2520.0
76,One Hundred Men and a Girl,6.7,1143.0
77,Stage Door,7.7,8676.0
78,Captains Courageous ,7.9,10308.0
79,The Adventures of Robin Hood,7.9,52654.0
80,Four Daughters,6.9,2073.0
81,La Grande Illusion,7.5,6.0
82,Alexander's Ragtime Band ,6.9,2215.0
83,Test Pilot ,6.8,2577.0
84,Pygmalion ,7.8,9161.0
85,Jezebel ,7.4,14308.0
86,The Citadel ,6.3,10217.0
87,Boys Town ,7.2,6018.0
88,You Can't Take It with You ,7.8,26748.0
89,The Wizard of Oz ,8.1,409552.0
90,Wuthering Heights ,7.5,18907.0
91,"Goodbye, Mr. Chips ",7.9,11095.0
92,Gone with the Wind ,8.2,321925.0
93,Love Affair ,6.0,4917.0
94,Of Mice and Men ,7.5,45096.0
95,Stagecoach ,7.8,51137.0
96,Dark Victory,7.5,11751.0
97,Mr. Smith Goes to Washington,8.1,117350.0
98,Ninotchka,7.8,21798.0
99,Kitty Foyle ,6.9,3877.0
100,"All This, and Heaven Too",7.4,5136.0
101,The Great Dictator,8.4,228018.0
102,The Long Voyage Home,6.9,4647.0
103,The Grapes of Wrath ,8.1,95957.0
104,Rebecca ,6.0,44096.0
105,Our Town ,6.5,2782.0
106,The Philadelphia Story ,7.9,71352.0
107,The Letter ,7.5,13874.0
108,Foreign Correspondent ,7.4,22250.0
109,How Green Was My Valley ,7.7,25272.0
110,Citizen Kane,8.3,449408.0
111,Here Comes Mr. Jordan,7.6,6920.0
112,Hold Back the Dawn,7.3,2647.0
113,The Little Foxes ,7.9,12487.0
114,Suspicion ,5.7,7271.0
115,Sergeant York ,7.7,19063.0
116,The Maltese Falcon ,8.0,162017.0
117,One Foot in Heaven,6.7,1416.0
118,Blossoms in the Dust,6.9,2164.0
119,49th Parallel ,7.3,7142.0
120,The Magnificent Ambersons ,7.6,25655.0
121,The Pied Piper ,6.4,843.0
122,Random Harvest ,7.9,8003.0
123,The Talk of the Town ,7.5,8692.0
124,Wake Island ,6.7,2104.0
125,Yankee Doodle Dandy,7.6,16184.0
126,Kings Row,7.5,4692.0
127,The Pride of the Yankees,7.6,11409.0
128,Mrs. Miniver,7.6,18537.0
129,In Which We Serve,7.2,6112.0
130,The Song of Bernadette ,7.6,7301.0
131,Madame Curie ,7.2,3027.0
132,The Human Comedy ,7.0,2298.0
133,Heaven Can Wait ,6.9,22323.0
134,For Whom the Bell Tolls ,6.8,9779.0
135,The More the Merrier,7.6,7067.0
136,The Ox-Bow Incident,8.0,24061.0
137,Watch on the Rhine,7.1,4699.0
138,Casablanca ,8.5,582415.0
139,Double Indemnity,8.3,160383.0
140,Wilson ,5.8,10851.0
141,Going My Way,7.0,12561.0
142,Gaslight ,7.4,23550.0
143,Since You Went Away,7.5,4786.0
144,The Bells of St. Mary's,7.2,8704.0
145,The Lost Weekend ,7.9,38560.0
146,Anchors Aweigh ,7.0,9097.0
147,Mildred Pierce ,7.9,27228.0
148,It's a Wonderful Life,8.6,470690.0
149,Henry V ,7.5,30647.0
150,The Razor's Edge ,6.4,5665.0
151,The Yearling ,7.2,6165.0
152,The Best Years of Our Lives,8.1,66826.0
153,Gentleman's Agreement,7.2,17087.0
154,The Bishop's Wife,7.6,19305.0
155,Miracle on 34th Street,7.9,51123.0
156,Great Expectations ,4.9,2169.0
157,Crossfire ,5.7,2340.0
158,The Red Shoes ,8.1,36741.0
159,The Snake Pit,7.6,8019.0
160,The Treasure of the Sierra Madre ,8.2,127703.0
161,Johnny Belinda ,7.7,5064.0
162,Hamlet ,7.7,38945.0
163,Battleground ,7.4,7548.0
164,All the King's Men ,6.1,25115.0
165,The Heiress,8.1,16404.0
166,Twelve O'Clock High,7.7,15237.0
167,A Letter to Three Wives,7.7,10176.0
168,All About Eve,8.2,133678.0
169,Born Yesterday ,7.5,11779.0
170,Father of the Bride ,6.5,80195.0
171,King Solomon's Mines ,5.2,14154.0
172,A Place in the Sun ,7.7,23570.0
173,Decision Before Dawn,7.2,2824.0
174,An American in Paris ,7.2,35210.0
175,Quo Vadis ,7.1,15868.0
176,A Streetcar Named Desire ,7.9,110938.0
177,Ivanhoe ,6.7,5233.0
178,Moulin Rouge ,7.6,290938.0
179,The Quiet Man,7.7,40321.0
180,High Noon,8.0,106601.0
181,Julius Caesar ,7.2,12139.0
182,The Robe ,6.7,11057.0
183,Shane ,7.6,42337.0
184,Roman Holiday,8.0,142075.0
185,From Here to Eternity,7.6,48692.0
186,Seven Brides for Seven Brothers,7.3,25997.0
187,The Caine Mutiny ,7.7,28651.0
188,The Country Girl ,7.2,6315.0
189,Three Coins in the Fountain ,6.2,3571.0
190,On the Waterfront,8.1,158120.0
191,Love Is a Many-Splendored Thing ,6.4,5166.0
192,Picnic ,7.0,9268.0
193,Mister Roberts ,7.6,17541.0
194,Marty ,7.7,25482.0
195,The Rose Tattoo ,6.9,4275.0
196,Giant ,7.6,40537.0
197,Friendly Persuasion ,7.3,7375.0
198,Around the World in 80 Days ,7.2,10809.0
199,The Ten Commandments ,7.9,74236.0
200,The King and I ,7.4,27069.0
201,12 Angry Men ,9.0,810542.0
202,Peyton Place ,7.3,641.0
203,Sayonara,7.0,7148.0
204,The Bridge on the River Kwai,8.1,225058.0
205,Witness for the Prosecution ,8.4,129180.0
206,Gigi ,6.6,23682.0
207,Cat on a Hot Tin Roof ,7.9,51321.0
208,Separate Tables ,7.4,8172.0
209,The Defiant Ones,7.6,16472.0
210,Auntie Mame ,7.9,11975.0
211,Ben-Hur ,8.1,244786.0
212,Anatomy of a Murder,8.0,68204.0
213,The Nun's Story ,7.5,11179.0
214,The Diary of Anne Frank ,7.4,13207.0
215,Room at the Top ,7.5,6764.0
216,The Apartment,8.3,185980.0
217,The Alamo ,6.8,16655.0
218,Sons and Lovers ,7.1,1682.0
219,The Sundowners ,7.1,4534.0
220,Elmer Gantry ,7.7,12179.0
221,West Side Story ,7.2,88103.0
222,Fanny ,6.8,2476.0
223,The Hustler,8.0,83970.0
224,The Guns of Navarone ,7.5,53091.0
225,Judgment at Nuremberg,8.3,79629.0
226,To Kill a Mockingbird ,8.3,321747.0
227,The Longest Day ,7.7,57334.0
228,Lawrence of Arabia ,8.3,300510.0
229,Mutiny on the Bounty ,7.2,17072.0
230,The Music Man ,7.7,18321.0
231,Tom Jones ,4.8,412.0
232,How the West Was Won ,7.0,22025.0
233,Lilies of the Field ,7.5,12527.0
234,America America,7.7,5743.0
235,Mary Poppins ,7.8,178103.0
236,Dr. Strangelove,7.2,32.0
237,My Fair Lady ,7.8,98305.0
238,Zorba the Greek ,7.6,23260.0
239,Becket ,7.8,15266.0
240,A Thousand Clowns,7.3,3568.0
241,The Sound of Music ,8.1,244027.0
242,Darling ,6.2,113753.0
243,Doctor Zhivago ,7.9,79217.0
244,Ship of Fools ,7.0,6517.0
245,A Man for All Seasons ,7.7,35822.0
246,Alfie ,6.2,53899.0
247,"The Russians Are Coming, the Russians Are Coming",7.0,9316.0
248,The Sand Pebbles ,7.5,15652.0
249,Who's Afraid of Virginia Woolf? ,8.0,77348.0
250,Guess Who's Coming to Dinner,7.8,46782.0
251,In the Heat of the Night ,7.6,5649.0
252,Bonnie and Clyde ,7.7,116284.0
253,The Graduate,8.0,279183.0
254,Doctor Dolittle ,5.4,99350.0
255,Oliver! ,7.4,39921.0
256,Funny Girl ,7.3,23869.0
257,The Lion in Winter ,7.9,32541.0
