year,film,wiki,winner,rating,numVotes
1927,Wings ,/wiki/Wings_(1927_film),True,7.3,13576.0
1927,The Racket ,/wiki/The_Racket_(1928_film),False,6.7,3149.0
1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),False,5.2,26223.0
1928,Alibi ,/wiki/Alibi_(1929_film),False,7.4,391.0
1928,Hollywood Revue,/wiki/Hollywood_Revue,False,5.8,2174.0
1928,The Patriot ,/wiki/The_Patriot_(1928_film),False,7.2,282275.0
1928,The Broadway Melody,/wiki/The_Broadway_Melody,True,5.6,7605.0
1928,In Old Arizona,/wiki/In_Old_Arizona,False,5.5,1199.0
1929,The Divorcee,/wiki/The_Divorcee,False,6.7,3366.0
1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True,8.1,65386.0
1929,The Big House ,/wiki/The_Big_House_(1930_film),False,6.8,4322.0
1929,Disraeli ,/wiki/Disraeli_(1929_film),False,6.1,1318.0
1929,The Love Parade,/wiki/The_Love_Parade,False,7.0,2469.0
1930,The Front Page ,/wiki/The_Front_Page_(1931_film),False,7.3,14295.0
1930,Cimarron ,/wiki/Cimarron_(1931_film),True,6.4,3233.0
1930,East Lynne ,/wiki/East_Lynne_(1931_film),False,7.0,41.0
1930,Skippy ,/wiki/Skippy_(film),False,6.4,1108.0
1930,Trader Horn ,/wiki/Trader_Horn_(1931_film),False,6.2,1058.0
1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),True,8.1,836067.0
1931,Arrowsmith ,/wiki/Arrowsmith_(film),False,6.2,1836.0
1931,The Champ ,/wiki/The_Champ_(1931_film),False,6.8,8912.0
1931,Shanghai Express ,/wiki/Shanghai_Express_(film),False,7.3,9618.0
1931,One Hour with You,/wiki/One_Hour_with_You,False,7.1,2708.0
1931,The Smiling Lieutenant,/wiki/The_Smiling_Lieutenant,False,7.2,3952.0
1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),False,5.4,809.0
1931,Five Star Final,/wiki/Five_Star_Final,False,7.3,2346.0
1932,Cavalcade ,/wiki/Cavalcade_(1933_film),True,5.8,5550.0
1932,42nd Street ,/wiki/42nd_Street_(film),False,7.3,12549.0
1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),False,6.4,6451.0
1932,Little Women ,/wiki/Little_Women_(1933_film),False,7.8,218222.0
1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),False,6.9,1440.0
1932,State Fair ,/wiki/State_Fair_(1933_film),False,7.0,4325.0
1932,I Am a Fugitive from a Chain Gang,/wiki/I_Am_a_Fugitive_from_a_Chain_Gang,False,8.2,13840.0
1932,She Done Him Wrong,/wiki/She_Done_Him_Wrong,False,6.3,6571.0
1932,Lady for a Day,/wiki/Lady_for_a_Day,False,7.4,4409.0
1932,The Private Life of Henry VIII,/wiki/The_Private_Life_of_Henry_VIII,False,7.0,4580.0
1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False,7.0,2001.0
1934,It Happened One Night,/wiki/It_Happened_One_Night,True,8.1,106884.0
1934,Flirtation Walk,/wiki/Flirtation_Walk,False,5.6,788.0
1934,The Gay Divorcee,/wiki/The_Gay_Divorcee,False,7.4,8252.0
1934,Here Comes the Navy,/wiki/Here_Comes_the_Navy,False,6.2,1097.0
1934,The House of Rothschild,/wiki/The_House_of_Rothschild,False,6.5,1239.0
1934,One Night of Love,/wiki/One_Night_of_Love,False,5.7,684.0
1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),False,7.8,17229.0
1934,The White Parade,/wiki/The_White_Parade,False,7.0,101.0
1934,The Thin Man ,/wiki/The_Thin_Man_(film),False,7.9,31222.0
1934,Viva Villa!,/wiki/Viva_Villa!,False,6.4,1484.0
1935,Broadway Melody of 1936,/wiki/Broadway_Melody_of_1936,False,6.8,1922.0
1935,Ruggles of Red Gap,/wiki/Ruggles_of_Red_Gap,False,7.6,4191.0
1935,Top Hat,/wiki/Top_Hat,False,7.7,19894.0
1935,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1935_film),True,7.2,17072.0
1935,Alice Adams ,/wiki/Alice_Adams_(1935_film),False,6.9,4322.0
1935,Captain Blood ,/wiki/Captain_Blood_(1935_film),False,7.7,15076.0
1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),False,7.7,4788.0
1935,The Informer ,/wiki/The_Informer_(1935_film),False,6.6,39509.0
1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False,7.0,3109.0
1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False,6.4,26194.0
1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),False,7.5,336046.0
1935,Naughty Marietta ,/wiki/Naughty_Marietta_(film),False,6.5,1453.0
1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),False,7.6,33417.0
1936,San Francisco ,/wiki/San_Francisco_(1936_film),False,7.3,6371.0
1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),False,7.8,5988.0
1936,Mr. Deeds Goes to Town,/wiki/Mr._Deeds_Goes_to_Town,False,7.8,22250.0
1936,Libeled Lady,/wiki/Libeled_Lady,False,7.8,8492.0
1936,Anthony Adverse,/wiki/Anthony_Adverse,False,6.3,1927.0
1936,Three Smart Girls,/wiki/Three_Smart_Girls,False,6.6,1455.0
1936,The Great Ziegfeld,/wiki/The_Great_Ziegfeld,True,6.6,8565.0
1936,Dodsworth ,/wiki/Dodsworth_(film),False,7.8,9678.0
1936,The Story of Louis Pasteur,/wiki/The_Story_of_Louis_Pasteur,False,7.3,2972.0
1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),False,7.6,13800.0
1937,Dead End ,/wiki/Dead_End_(1937_film),False,6.5,30273.0
1937,The Good Earth ,/wiki/The_Good_Earth_(film),False,7.5,5191.0
1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),False,7.6,396752.0
1937,The Life of Emile Zola,/wiki/The_Life_of_Emile_Zola,True,7.2,8596.0
1937,The Awful Truth,/wiki/The_Awful_Truth,False,7.7,20443.0
1937,In Old Chicago,/wiki/In_Old_Chicago,False,6.7,2520.0
1937,One Hundred Men and a Girl,/wiki/One_Hundred_Men_and_a_Girl,False,6.7,1143.0
1937,Stage Door,/wiki/Stage_Door,False,7.7,8676.0
1937,Captains Courageous ,/wiki/Captains_Courageous_(1937_film),False,7.9,10308.0
1938,The Adventures of Robin Hood,/wiki/The_Adventures_of_Robin_Hood,False,7.9,52654.0
1938,Four Daughters,/wiki/Four_Daughters,False,6.9,2073.0
1938,La Grande Illusion,/wiki/La_Grande_Illusion,False,7.5,6.0
1938,Alexander's Ragtime Band ,/wiki/Alexander%27s_Ragtime_Band_(film),False,6.9,2215.0
1938,Test Pilot ,/wiki/Test_Pilot_(film),False,6.8,2577.0
1938,Pygmalion ,/wiki/Pygmalion_(1938_film),False,7.8,9161.0
1938,Jezebel ,/wiki/Jezebel_(1938_film),False,7.4,14308.0
1938,The Citadel ,/wiki/The_Citadel_(1938_film),False,6.3,10217.0
1938,Boys Town ,/wiki/Boys_Town_(film),False,7.2,6018.0
1938,You Can't Take It with You ,/wiki/You_Can%27t_Take_It_with_You_(film),True,7.8,26748.0
1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False,8.1,409552.0
1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False,7.5,18907.0
1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False,7.9,11095.0
1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True,8.2,321925.0
