,year,film,wiki,winner
0,1927,Wings ,/wiki/Wings_(1927_film),True
1,1927,7th Heaven ,/wiki/7th_Heaven_(1927_film),False
2,1927,The Racket ,/wiki/The_Racket_(1928_film),False
4,1928,Alibi ,/wiki/Alibi_(1929_film),False
5,1928,Hollywood Revue,/wiki/Hollywood_Revue,False
7,1928,The Patriot ,/wiki/The_Patriot_(1928_film),False
8,1929,All Quiet on the Western Front ,/wiki/All_Quiet_on_the_Western_Front_(1930_film),True
9,1929,The Big House ,/wiki/The_Big_House_(1930_film),False
10,1929,Disraeli ,/wiki/Disraeli_(1929_film),False
13,1930,Cimarron ,/wiki/Cimarron_(1931_film),True
14,1930,East Lynne ,/wiki/East_Lynne_(1931_film),False
15,1930,The Front Page ,/wiki/The_Front_Page_(1931_film),False
16,1930,Skippy ,/wiki/Skippy_(film),False
17,1930,Trader Horn ,/wiki/Trader_Horn_(1931_film),False
18,1931,Grand Hotel ,/wiki/Grand_Hotel_(1932_film),True
19,1931,Arrowsmith ,/wiki/Arrowsmith_(film),False
20,1931,Bad Girl ,/wiki/Bad_Girl_(1931_film),False
21,1931,The Champ ,/wiki/The_Champ_(1931_film),False
24,1931,Shanghai Express ,/wiki/Shanghai_Express_(film),False
26,1932,Cavalcade ,/wiki/Cavalcade_(1933_film),True
27,1932,42nd Street ,/wiki/42nd_Street_(film),False
28,1932,A Farewell to Arms ,/wiki/A_Farewell_to_Arms_(1932_film),False
31,1932,Little Women ,/wiki/Little_Women_(1933_film),False
34,1932,Smilin' Through ,/wiki/Smilin%27_Through_(1932_film),False
35,1932,State Fair ,/wiki/State_Fair_(1933_film),False
37,1934,The Barretts of Wimpole Street ,/wiki/The_Barretts_of_Wimpole_Street_(1934_film),False
38,1934,Cleopatra ,/wiki/Cleopatra_(1934_film),False
43,1934,Imitation of Life ,/wiki/Imitation_of_Life_(1934_film),False
45,1934,The Thin Man ,/wiki/The_Thin_Man_(film),False
48,1935,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1935_film),True
49,1935,Alice Adams ,/wiki/Alice_Adams_(1935_film),False
51,1935,Captain Blood ,/wiki/Captain_Blood_(1935_film),False
52,1935,David Copperfield ,/wiki/David_Copperfield_(1935_film),False
53,1935,The Informer ,/wiki/The_Informer_(1935_film),False
54,1935,The Lives of a Bengal Lancer ,/wiki/The_Lives_of_a_Bengal_Lancer_(film),False
55,1935,A Midsummer Night's Dream ,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),False
56,1935,Les Misérables ,/wiki/Les_Mis%C3%A9rables_(1935_film),False
57,1935,Naughty Marietta ,/wiki/Naughty_Marietta_(film),False
62,1936,Dodsworth ,/wiki/Dodsworth_(film),False
65,1936,Romeo and Juliet ,/wiki/Romeo_and_Juliet_(1936_film),False
66,1936,San Francisco ,/wiki/San_Francisco_(1936_film),False
68,1936,A Tale of Two Cities ,/wiki/A_Tale_of_Two_Cities_(1935_film),False
72,1937,Captains Courageous ,/wiki/Captains_Courageous_(1937_film),False
73,1937,Dead End ,/wiki/Dead_End_(1937_film),False
74,1937,The Good Earth ,/wiki/The_Good_Earth_(film),False
76,1937,Lost Horizon ,/wiki/Lost_Horizon_(1937_film),False
79,1937,A Star Is Born ,/wiki/A_Star_Is_Born_(1937_film),False
80,1938,You Can't Take It with You ,/wiki/You_Can%27t_Take_It_with_You_(film),True
82,1938,Alexander's Ragtime Band ,/wiki/Alexander%27s_Ragtime_Band_(film),False
83,1938,Boys Town ,/wiki/Boys_Town_(film),False
84,1938,The Citadel ,/wiki/The_Citadel_(1938_film),False
87,1938,Jezebel ,/wiki/Jezebel_(1938_film),False
88,1938,Pygmalion ,/wiki/Pygmalion_(1938_film),False
89,1938,Test Pilot ,/wiki/Test_Pilot_(film),False
90,1939,Gone with the Wind ,/wiki/Gone_with_the_Wind_(film),True
92,1939,"Goodbye, Mr. Chips ","/wiki/Goodbye,_Mr._Chips_(1939_film)",False
93,1939,Love Affair ,/wiki/Love_Affair_(1939_film),False
96,1939,Of Mice and Men ,/wiki/Of_Mice_and_Men_(1939_film),False
97,1939,Stagecoach ,/wiki/Stagecoach_(1939_film),False
98,1939,The Wizard of Oz ,/wiki/The_Wizard_of_Oz_(1939_film),False
99,1939,Wuthering Heights ,/wiki/Wuthering_Heights_(1939_film),False
100,1940,Rebecca ,/wiki/Rebecca_(1940_film),True
102,1940,Foreign Correspondent ,/wiki/Foreign_Correspondent_(film),False
103,1940,The Grapes of Wrath ,/wiki/The_Grapes_of_Wrath_(film),False
105,1940,Kitty Foyle ,/wiki/Kitty_Foyle_(film),False
106,1940,The Letter ,/wiki/The_Letter_(1940_film),False
108,1940,Our Town ,/wiki/Our_Town_(1940_film),False
109,1940,The Philadelphia Story ,/wiki/The_Philadelphia_Story_(film),False
110,1941,How Green Was My Valley ,/wiki/How_Green_Was_My_Valley_(film),True
115,1941,The Little Foxes ,/wiki/The_Little_Foxes_(film),False
116,1941,The Maltese Falcon ,/wiki/The_Maltese_Falcon_(1941_film),False
118,1941,Sergeant York ,/wiki/Sergeant_York_(film),False
119,1941,Suspicion ,/wiki/Suspicion_(1941_film),False
121,1942,49th Parallel ,/wiki/49th_Parallel_(film),False
123,1942,The Magnificent Ambersons ,/wiki/The_Magnificent_Ambersons_(film),False
124,1942,The Pied Piper ,/wiki/The_Pied_Piper_(1942_film),False
126,1942,Random Harvest ,/wiki/Random_Harvest_(film),False
127,1942,The Talk of the Town ,/wiki/The_Talk_of_the_Town_(1942_film),False
128,1942,Wake Island ,/wiki/Wake_Island_(film),False
130,1943,Casablanca ,/wiki/Casablanca_(film),True
