,originalTitle,averageRating,numVotes
5186,127 Hours,7.5,385614
21493,A Few Good Men,7.7,272238
24662,A Letter to Three Wives,7.7,10176
29993,A Serious Man,7.0,145663
30641,A Soldier's Story,7.2,10773
32008,A Thousand Clowns,7.3,3568
51987,All About Eve,8.2,133678
53154,"All This, and Heaven Too",7.4,5136
57635,America America,7.7,5743
58449,American Graffiti,7.4,92993
58533,American Hustle,7.2,487634
58902,American Sniper,7.3,500701
60967,An Education,7.3,136065
61969,An Unmarried Woman,7.1,5645
62970,Anatomy of a Murder,8.0,68204
67593,Anne of the Thousand Days,7.4,7796
67702,Annie Hall,8.0,269843
68842,Anthony Adverse,6.3,1927
70456,Apocalypse Now,8.5,680101
75672,As Good as It Gets,7.7,306485
82871,Avatar: The Way of Water,7.7,369719
83528,Awakenings,7.8,148174
94029,Barry Lyndon,8.1,173059
97859,Beasts of the Southern Wild,7.2,84059
113409,BlacKkKlansman,7.5,272849
117813,Blossoms in the Dust,6.9,2164
126229,Braveheart,8.4,1053011
126776,Breaking Away,7.7,24433
129300,Broadway Melody of 1936,6.8,1922
129466,Brokeback Mountain,7.7,366493
132419,Bugsy,6.8,29959
135270,Butch Cassidy and the Sundance Kid,8.0,220258
153792,Chariots of Fire,7.1,63236
164870,Citizen Kane,8.3,449408
180740,Cries and Whispers,8.0,156
182136,"Crouching Tiger, Hidden Dragon",8.0,1486
188930,Dallas Buyers Club,7.9,498957
190090,Dances with Wolves,8.0,275168
190745,Dangerous Liaisons,7.6,72345
192773,Dark Victory,7.5,11751
200588,Dead Poets Society,8.1,507205
204156,Decision Before Dawn,7.2,2824
206192,Deliverance,7.7,113602
224674,District 9,7.9,693223
225434,Django Unchained,8.4,1592500
227297,Dog Day Afternoon,8.0,262946
229910,Don't Look Up,7.2,555062
232832,Double Indemnity,8.3,160383
234613,Dr. Strangelove,7.2,32
237255,Driving Miss Daisy,7.3,113308
242243,E.T. the Extra-Terrestrial,7.9,419529
277805,Everything Everywhere All at Once,7.9,437015
287853,Fatal Attraction,6.9,90756
291573,Field of Dreams,7.5,122493
296557,Five Easy Pieces,7.4,38546
296800,Five Star Final,7.3,2346
298440,Flirtation Walk,5.6,788
302289,Ford v Ferrari,8.1,414412
303126,Forrest Gump,8.8,2127602
