,film,rating,numVotes
0,Wings ,7.3,13576.0
1,7th Heaven ,5.2,26223.0
2,The Racket ,6.7,3149.0
3,Alibi ,7.4,391.0
4,Hollywood Revue,5.8,2174.0
5,The Patriot ,7.2,282275.0
6,All Quiet on the Western Front ,8.1,65386.0
7,The Big House ,6.8,4322.0
8,Disraeli ,6.1,1318.0
9,Cimarron ,6.4,3233.0
10,East Lynne ,7.0,41.0
11,The Front Page ,7.3,14295.0
12,Skippy ,6.4,1108.0
13,Trader Horn ,6.2,1058.0
14,Grand Hotel ,8.1,836067.0
15,Arrowsmith ,6.2,1836.0
16,Bad Girl ,5.4,809.0
17,The Champ ,6.8,8912.0
18,Shanghai Express ,7.3,9618.0
19,Cavalcade ,5.8,5550.0
20,42nd Street ,7.3,12549.0
21,A Farewell to Arms ,6.4,6451.0
22,Little Women ,7.8,218222.0
23,Smilin' Through ,6.9,1440.0
24,State Fair ,7.0,4325.0
25,The Barretts of Wimpole Street ,7.0,2001.0
26,Cleopatra ,,
27,Imitation of Life ,7.8,17229.0
28,The Thin Man ,7.9,31222.0
29,Mutiny on the Bounty ,7.2,17072.0
30,Alice Adams ,6.9,4322.0
31,Captain Blood ,7.7,15076.0
32,David Copperfield ,7.7,4788.0
33,The Informer ,6.6,39509.0
34,The Lives of a Bengal Lancer ,7.0,3109.0
35,A Midsummer Night's Dream ,6.4,26194.0
36,Les Misérables ,7.5,336046.0
37,Naughty Marietta ,6.5,1453.0
38,Dodsworth ,7.8,9678.0
39,Romeo and Juliet ,7.6,33417.0
40,San Francisco ,7.3,6371.0
41,A Tale of Two Cities ,7.8,5988.0
42,Captains Courageous ,7.9,10308.0
43,Dead End ,6.5,30273.0
44,The Good Earth ,7.5,5191.0
45,Lost Horizon ,7.6,13800.0
46,A Star Is Born ,7.6,396752.0
47,You Can't Take It with You ,7.8,26748.0
48,Alexander's Ragtime Band ,6.9,2215.0
49,Boys Town ,7.2,6018.0
50,The Citadel ,6.3,10217.0
51,Jezebel ,7.4,14308.0
52,Pygmalion ,7.8,9161.0
53,Test Pilot ,6.8,2577.0
54,Gone with the Wind ,8.2,321925.0
55,"Goodbye, Mr. Chips ",7.9,11095.0
56,Love Affair ,6.0,4917.0
57,Of Mice and Men ,7.5,45096.0
58,Stagecoach ,7.8,51137.0
59,The Wizard of Oz ,8.1,409552.0
60,Wuthering Heights ,7.5,18907.0
61,Rebecca ,6.0,44096.0
62,Foreign Correspondent ,7.4,22250.0
63,The Grapes of Wrath ,8.1,95957.0
64,Kitty Foyle ,6.9,3877.0
65,The Letter ,7.5,13874.0
66,Our Town ,6.5,2782.0
67,The Philadelphia Story ,7.9,71352.0
68,How Green Was My Valley ,7.7,25272.0
69,The Little Foxes ,7.9,12487.0
70,The Maltese Falcon ,8.0,162017.0
71,Sergeant York ,7.7,19063.0
72,Suspicion ,5.7,7271.0
73,49th Parallel ,7.3,7142.0
74,The Magnificent Ambersons ,7.6,25655.0
75,The Pied Piper ,6.4,843.0
76,Random Harvest ,7.9,8003.0
77,The Talk of the Town ,7.5,8692.0
78,Wake Island ,6.7,2104.0
79,Casablanca ,8.5,582415.0
80,For Whom the Bell Tolls ,6.8,9779.0
81,Heaven Can Wait ,6.9,22323.0
82,The Human Comedy ,7.0,2298.0
83,Madame Curie ,7.2,3027.0
84,The Song of Bernadette ,7.6,7301.0
85,Gaslight ,7.4,23550.0
86,Wilson ,5.8,10851.0
87,The Lost Weekend ,7.9,38560.0
88,Anchors Aweigh ,7.0,9097.0
89,Mildred Pierce ,7.9,27228.0
90,Spellbound ,,
91,Henry V ,7.5,30647.0
92,The Razor's Edge ,6.4,5665.0
93,The Yearling ,7.2,6165.0
94,Crossfire ,5.7,2340.0
95,Great Expectations ,4.9,2169.0
96,Hamlet ,7.7,38945.0
97,Johnny Belinda ,7.7,5064.0
98,The Red Shoes ,8.1,36741.0
99,The Treasure of the Sierra Madre ,8.2,127703.0
100,All the King's Men ,6.1,25115.0
101,Battleground ,7.4,7548.0
102,Born Yesterday ,7.5,11779.0
103,Father of the Bride ,6.5,80195.0
104,King Solomon's Mines ,5.2,14154.0
105,Sunset Boulevard ,,
106,An American in Paris ,7.2,35210.0
107,A Place in the Sun ,7.7,23570.0
108,Quo Vadis ,7.1,15868.0
109,A Streetcar Named Desire ,7.9,110938.0
110,Ivanhoe ,6.7,5233.0
111,Moulin Rouge ,7.6,290938.0
112,Julius Caesar ,7.2,12139.0
113,The Robe ,6.7,11057.0
114,Shane ,7.6,42337.0
115,The Caine Mutiny ,7.7,28651.0
116,The Country Girl ,7.2,6315.0
117,Three Coins in the Fountain ,6.2,3571.0
118,Marty ,7.7,25482.0
119,Love Is a Many-Splendored Thing ,6.4,5166.0
120,Mister Roberts ,7.6,17541.0
121,Picnic ,7.0,9268.0
122,The Rose Tattoo ,6.9,4275.0
123,Around the World in 80 Days ,7.2,10809.0
124,Friendly Persuasion ,7.3,7375.0
125,Giant ,7.6,40537.0
126,The King and I ,7.4,27069.0
127,The Ten Commandments ,7.9,74236.0
128,12 Angry Men ,9.0,810542.0
129,Peyton Place ,7.3,641.0
130,Witness for the Prosecution ,8.4,129180.0
131,Gigi ,6.6,23682.0
132,Auntie Mame ,7.9,11975.0
133,Cat on a Hot Tin Roof ,7.9,51321.0
134,Separate Tables ,7.4,8172.0
135,Ben-Hur ,8.1,244786.0
136,The Diary of Anne Frank ,7.4,13207.0
137,The Nun's Story ,7.5,11179.0
138,Room at the Top ,7.5,6764.0
139,The Alamo ,6.8,16655.0
140,Elmer Gantry ,7.7,12179.0
141,Sons and Lovers ,7.1,1682.0
142,The Sundowners ,7.1,4534.0
143,West Side Story ,7.2,88103.0
144,Fanny ,6.8,2476.0
145,The Guns of Navarone ,7.5,53091.0
146,Lawrence of Arabia ,8.3,300510.0
147,The Longest Day ,7.7,57334.0
148,The Music Man ,7.7,18321.0
149,Mutiny on the Bounty ,7.2,17072.0
150,To Kill a Mockingbird ,8.3,321747.0
151,Tom Jones ,4.8,412.0
152,Cleopatra ,,
153,How the West Was Won ,7.0,22025.0
154,Lilies of the Field ,7.5,12527.0
155,My Fair Lady ,7.8,98305.0
156,Becket ,7.8,15266.0
157,Mary Poppins ,7.8,178103.0
158,Zorba the Greek ,7.6,23260.0
159,The Sound of Music ,8.1,244027.0
160,Darling ,6.2,113753.0
161,Doctor Zhivago ,7.9,79217.0
162,Ship of Fools ,7.0,6517.0
163,A Man for All Seasons ,7.7,35822.0
164,Alfie ,6.2,53899.0
165,"The Russians Are Coming, the Russians Are Coming",7.0,9316.0
166,The Sand Pebbles ,7.5,15652.0
167,Who's Afraid of Virginia Woolf? ,8.0,77348.0
168,In the Heat of the Night ,7.6,5649.0
169,Bonnie and Clyde ,7.7,116284.0
170,Doctor Dolittle ,5.4,99350.0
171,Oliver! ,7.4,39921.0
172,Funny Girl ,7.3,23869.0
173,The Lion in Winter ,7.9,32541.0
174,Romeo and Juliet ,7.6,33417.0
175,"Hello, Dolly! ",7.0,16126.0
176,Z ,8.2,29921.0
177,Patton ,7.9,104860.0
178,Airport ,6.6,20129.0
179,Love Story ,6.9,35647.0
180,M*A*S*H ,8.4,59843.0
181,The French Connection ,7.7,127344.0
182,A Clockwork Orange ,8.3,846321.0
