year,film,wiki,winner
1960,The Apartment,/wiki/The_Apartment,True
1960,The 400 Blows,/wiki/The_400_Blows,False
1960,The Angry Silence,/wiki/The_Angry_Silence,False
1960,L'avventura,/wiki/L%27avventura,False
1960,La Dolce Vita,/wiki/La_Dolce_Vita,False
1960,Elmer Gantry (film),/wiki/Elmer_Gantry_(film),False
1960,Hiroshima mon amour,/wiki/Hiroshima_mon_amour,False
1960,Inherit the Wind (1960 film),/wiki/Inherit_the_Wind_(1960_film),False
1960,Let's Make Love,/wiki/Let%27s_Make_Love,False
1960,Black Orpheus,/wiki/Black_Orpheus,False
1960,Never on Sunday,/wiki/Never_on_Sunday,False
1960,Saturday Night and Sunday Morning (film),/wiki/Saturday_Night_and_Sunday_Morning_(film),False
1960,Shadows (1959 film),/wiki/Shadows_(1959_film),False
1960,Spartacus (film),/wiki/Spartacus_(film),False
1960,The Testament of Orpheus,/wiki/The_Testament_of_Orpheus,False
1960,The Trials of Oscar Wilde,/wiki/The_Trials_of_Oscar_Wilde,False
1960,Tunes of Glory,/wiki/Tunes_of_Glory,False
1961,Ballad of a Soldier,/wiki/Ballad_of_a_Soldier,True
1961,The Hustler,/wiki/The_Hustler,True
1961,The World of Apu,/wiki/The_World_of_Apu,False
1961,The Innocents (1961 film),/wiki/The_Innocents_(1961_film),False
1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False
1961,The Long and the Short and the Tall (film),/wiki/The_Long_and_the_Short_and_the_Tall_(film),False
1961,Rocco and His Brothers,/wiki/Rocco_and_His_Brothers,False
1961,The Sundowners (1960 film),/wiki/The_Sundowners_(1960_film),False
1961,A Taste of Honey (film),/wiki/A_Taste_of_Honey_(film),False
1961,The Hole (1960 film),/wiki/The_Hole_(1960_film),False
1961,Whistle Down the Wind (film),/wiki/Whistle_Down_the_Wind_(film),False
1962,Lawrence of Arabia (film),/wiki/Lawrence_of_Arabia_(film),True
1962,Last Year at Marienbad,/wiki/Last_Year_at_Marienbad,False
1962,Billy Budd (film),/wiki/Billy_Budd_(film),False
1962,The Elusive Corporal,/wiki/The_Elusive_Corporal,False
1962,The Lady with the Dog (film),/wiki/The_Lady_with_the_Dog_(film),False
1962,The Naked Island,/wiki/The_Naked_Island,False
