year,film,wiki,winner
1946,Brief Encounter,/wiki/Brief_Encounter,True
1946,The Last Chance (1945 film),/wiki/The_Last_Chance_(1945_film),True
1946,The Lost Weekend (film),/wiki/The_Lost_Weekend_(film),True
1946,María Candelaria,/wiki/Mar%C3%ADa_Candelaria,True
1946,Men Without Wings,/wiki/Men_Without_Wings,True
1946,Neecha Nagar,/wiki/Neecha_Nagar,True
1946,Pastoral Symphony (film),/wiki/Pastoral_Symphony_(film),True
1946,The Red Meadows,/wiki/The_Red_Meadows,True
1946,"Rome, Open City","/wiki/Rome,_Open_City",True
1946,Torment (1944 film),/wiki/Torment_(1944_film),True
1946,The Turning Point (1945 film),/wiki/The_Turning_Point_(1945_film),True
1947,Antoine and Antoinette,/wiki/Antoine_and_Antoinette,True
1947,Crossfire (film),/wiki/Crossfire_(film),True
1947,The Damned (1947 film),/wiki/The_Damned_(1947_film),True
1947,Dumbo,/wiki/Dumbo,True
1947,Ziegfeld Follies (film),/wiki/Ziegfeld_Follies_(film),True
1948,,#cite_note-history-32,True
1949,The Third Man,/wiki/The_Third_Man,True
1950,,#cite_note-history-32,True
1951,Miracle in Milan,/wiki/Miracle_in_Milan,True
1951,Miss Julie (1951 film),/wiki/Miss_Julie_(1951_film),True
1952,Othello (1951 film),/wiki/Othello_(1951_film),True
1952,Two Cents Worth of Hope,/wiki/Two_Cents_Worth_of_Hope,True
1953,The Wages of Fear,/wiki/The_Wages_of_Fear,True
1954,Gate of Hell (film),/wiki/Gate_of_Hell_(film),True
1955,Marty (film),/wiki/Marty_(film),True
1956,The Silent World,/wiki/The_Silent_World,True
1957,Friendly Persuasion (1956 film),/wiki/Friendly_Persuasion_(1956_film),True
1958,The Cranes Are Flying,/wiki/The_Cranes_Are_Flying,True
1959,Black Orpheus,/wiki/Black_Orpheus,True
1960,La Dolce Vita,/wiki/La_Dolce_Vita,True
1961,The Long Absence,/wiki/The_Long_Absence,True
1961,Viridiana,/wiki/Viridiana,True
1962,O Pagador de Promessas,/wiki/O_Pagador_de_Promessas,True
1963,The Leopard (1963 film),/wiki/The_Leopard_(1963_film),True
1964,The Umbrellas of Cherbourg,/wiki/The_Umbrellas_of_Cherbourg,True
1965,The Knack ...and How to Get It,/wiki/The_Knack_...and_How_to_Get_It,True
1966,"The Birds, the Bees and the Italians","/wiki/The_Birds,_the_Bees_and_the_Italians",True
1966,A Man and a Woman,/wiki/A_Man_and_a_Woman,True
1967,Blowup,/wiki/Blowup,True
1968,May 68,/wiki/May_68,True
1969,If....,/wiki/If....,True
1970,MASH (film),/wiki/MASH_(film),True
1971,The Go-Between (1971 film),/wiki/The_Go-Between_(1971_film),True
1972,The Mattei Affair,/wiki/The_Mattei_Affair,True
1972,The Working Class Goes to Heaven,/wiki/The_Working_Class_Goes_to_Heaven,True
1973,The Hireling,/wiki/The_Hireling,True
1973,Scarecrow (1973 film),/wiki/Scarecrow_(1973_film),True
1974,The Conversation,/wiki/The_Conversation,True
1975,Chronicle of the Years of Fire,/wiki/Chronicle_of_the_Years_of_Fire,True
1976,Taxi Driver,/wiki/Taxi_Driver,True
1977,Padre Padrone,/wiki/Padre_Padrone,True
1978,The Tree of Wooden Clogs,/wiki/The_Tree_of_Wooden_Clogs,True
1979,Apocalypse Now,/wiki/Apocalypse_Now,True
1979,The Tin Drum (film),/wiki/The_Tin_Drum_(film),True
1980,All That Jazz (film),/wiki/All_That_Jazz_(film),True
1980,Kagemusha,/wiki/Kagemusha,True
1981,Man of Iron,/wiki/Man_of_Iron,True
1982,Missing (1982 film),/wiki/Missing_(1982_film),True
1982,Yol,/wiki/Yol,True
1983,The Ballad of Narayama (1983 film),/wiki/The_Ballad_of_Narayama_(1983_film),True
1984,"Paris, Texas (film)","/wiki/Paris,_Texas_(film)",True
1985,When Father Was Away on Business,/wiki/When_Father_Was_Away_on_Business,True
1986,The Mission (1986 film),/wiki/The_Mission_(1986_film),True
1987,Under the Sun of Satan (film),/wiki/Under_the_Sun_of_Satan_(film),True
1988,Pelle the Conqueror,/wiki/Pelle_the_Conqueror,True
1989,"Sex, Lies, and Videotape","/wiki/Sex,_Lies,_and_Videotape",True
1990,Wild at Heart (film),/wiki/Wild_at_Heart_(film),True
1991,Barton Fink,/wiki/Barton_Fink,True
1992,The Best Intentions,/wiki/The_Best_Intentions,True
1993,Farewell My Concubine (film),/wiki/Farewell_My_Concubine_(film),True
1993,The Piano,/wiki/The_Piano,True
1994,Pulp Fiction,/wiki/Pulp_Fiction,True
1995,Underground (1995 film),/wiki/Underground_(1995_film),True
1996,Secrets & Lies (film),/wiki/Secrets_%26_Lies_(film),True
1997,The Eel (film),/wiki/The_Eel_(film),True
1997,Taste of Cherry,/wiki/Taste_of_Cherry,True
1998,Eternity and a Day,/wiki/Eternity_and_a_Day,True
1999,Rosetta (film),/wiki/Rosetta_(film),True
2000,Dancer in the Dark,/wiki/Dancer_in_the_Dark,True
2001,The Son's Room,/wiki/The_Son%27s_Room,True
2002,The Pianist (2002 film),/wiki/The_Pianist_(2002_film),True
2003,Elephant (2003 film),/wiki/Elephant_(2003_film),True
2004,Fahrenheit 9/11,/wiki/Fahrenheit_9/11,True
2005,L'Enfant (film),/wiki/L%27Enfant_(film),True
2006,The Wind That Shakes the Barley (film),/wiki/The_Wind_That_Shakes_the_Barley_(film),True
2007,"4 Months, 3 Weeks and 2 Days","/wiki/4_Months,_3_Weeks_and_2_Days",True
2008,The Class (2008 film),/wiki/The_Class_(2008_film),True
2009,The White Ribbon,/wiki/The_White_Ribbon,True
2010,Uncle Boonmee Who Can Recall His Past Lives,/wiki/Uncle_Boonmee_Who_Can_Recall_His_Past_Lives,True
2011,The Tree of Life (film),/wiki/The_Tree_of_Life_(film),True
2012,Amour (2012 film),/wiki/Amour_(2012_film),True
2013,Blue Is the Warmest Colour,/wiki/Blue_Is_the_Warmest_Colour,True
2014,Winter Sleep (film),/wiki/Winter_Sleep_(film),True
2015,Dheepan,/wiki/Dheepan,True
2016,"I, Daniel Blake","/wiki/I,_Daniel_Blake",True
2017,The Square (2017 film),/wiki/The_Square_(2017_film),True
2018,Shoplifters (film),/wiki/Shoplifters_(film),True
2019,Parasite (2019 film),/wiki/Parasite_(2019_film),True
2020,COVID-19 pandemic,/wiki/COVID-19_pandemic,True
2021,Titane (film),/wiki/Titane_(film),True
2022,Triangle of Sadness,/wiki/Triangle_of_Sadness,True
