year,film,wiki,winner
1948,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,True
1948,Red River (1948 film),/wiki/Red_River_(1948_film),False
1948,The Snake Pit,/wiki/The_Snake_Pit,False
1948,The Search,/wiki/The_Search,False
1949,All the King's Men (1949 film),/wiki/All_the_King%27s_Men_(1949_film),True
1949,The Third Man,/wiki/The_Third_Man,False
1949,Champion (1949 film),/wiki/Champion_(1949_film),False
1949,Lost Boundaries,/wiki/Lost_Boundaries,False
1950,All About Eve,/wiki/All_About_Eve,True
1950,The Asphalt Jungle,/wiki/The_Asphalt_Jungle,False
1950,Father's Little Dividend,/wiki/Father%27s_Little_Dividend,False
1950,Sunset Boulevard (film),/wiki/Sunset_Boulevard_(film),False
1951,A Place in the Sun (1951 film),/wiki/A_Place_in_the_Sun_(1951_film),True
1951,Death of a Salesman (1951 film),/wiki/Death_of_a_Salesman_(1951_film),False
1951,Cyrano de Bergerac (1950 film),/wiki/Cyrano_de_Bergerac_(1950_film),False
1951,Strangers on a Train (film),/wiki/Strangers_on_a_Train_(film),False
1951,A Streetcar Named Desire (1951 film),/wiki/A_Streetcar_Named_Desire_(1951_film),False
1951,David and Bathsheba (film),/wiki/David_and_Bathsheba_(film),False
1951,Quo Vadis (1951 film),/wiki/Quo_Vadis_(1951_film),False
1951,Decision Before Dawn,/wiki/Decision_Before_Dawn,False
1951,An American in Paris (film),/wiki/An_American_in_Paris_(film),False
1951,Show Boat (1951 film),/wiki/Show_Boat_(1951_film),False
1951,The Great Caruso,/wiki/The_Great_Caruso,False
1951,Detective Story (1951 film),/wiki/Detective_Story_(1951_film),False
1952,The Quiet Man,/wiki/The_Quiet_Man,True
1952,The Lavender Hill Mob,/wiki/The_Lavender_Hill_Mob,False
1952,Pat and Mike,/wiki/Pat_and_Mike,False
1952,I'll See You in My Dreams (1951 film),/wiki/I%27ll_See_You_in_My_Dreams_(1951_film),False
1952,The Greatest Show on Earth (film),/wiki/The_Greatest_Show_on_Earth_(film),False
1952,My Six Convicts,/wiki/My_Six_Convicts,False
1952,The Big Sky (film),/wiki/The_Big_Sky_(film),False
1952,Viva Zapata!,/wiki/Viva_Zapata!,False
1952,Singin' in the Rain,/wiki/Singin%27_in_the_Rain,False
1952,The Snows of Kilimanjaro (1952 film),/wiki/The_Snows_of_Kilimanjaro_(1952_film),False
1952,Rashomon,/wiki/Rashomon,False
1952,Pandora and the Flying Dutchman,/wiki/Pandora_and_the_Flying_Dutchman,False
1952,5 Fingers,/wiki/5_Fingers,False
1952,The Bad and the Beautiful,/wiki/The_Bad_and_the_Beautiful,False
1952,Scaramouche (1952 film),/wiki/Scaramouche_(1952_film),False
1952,Ivanhoe (1952 film),/wiki/Ivanhoe_(1952_film),False
1952,Hans Christian Andersen (film),/wiki/Hans_Christian_Andersen_(film),False
1952,High Noon,/wiki/High_Noon,False
1953,From Here to Eternity,/wiki/From_Here_to_Eternity,True
1953,Above and Beyond (1952 film),/wiki/Above_and_Beyond_(1952_film),False
1953,The Robe (film),/wiki/The_Robe_(film),False
1953,Call Me Madam (film),/wiki/Call_Me_Madam_(film),False
1953,Julius Caesar (1953 film),/wiki/Julius_Caesar_(1953_film),False
