year,film,wiki,winner
1951,An American in Paris ,/wiki/An_American_in_Paris_(film),True
1952,With a Song in My Heart ,/wiki/With_a_Song_in_My_Heart_(film),True
1952,Hans Christian Andersen ,/wiki/Hans_Christian_Andersen_(film),False
1952,I'll See You in My Dreams ,/wiki/I%27ll_See_You_in_My_Dreams_(1951_film),False
1952,Singin' in the Rain,/wiki/Singin%27_in_the_Rain,False
1952,Stars and Stripes Forever ,/wiki/Stars_and_Stripes_Forever_(film),False
1954,Carmen Jones ,/wiki/Carmen_Jones_(film),True
1955,Guys and Dolls ,/wiki/Guys_and_Dolls_(film),True
1956,The King and I ,/wiki/The_King_and_I_(1956_film),True
1956,Bus Stop ,/wiki/Bus_Stop_(1956_film),False
1956,The Opposite Sex,/wiki/The_Opposite_Sex,False
1956,The Solid Gold Cadillac,/wiki/The_Solid_Gold_Cadillac,False
1956,The Teahouse of the August Moon ,/wiki/The_Teahouse_of_the_August_Moon_(film),False
1957,Les Girls,/wiki/Les_Girls,True
1957,Don't Go Near the Water ,/wiki/Don%27t_Go_Near_the_Water_(film),False
1957,Love in the Afternoon ,/wiki/Love_in_the_Afternoon_(1957_film),False
1957,Pal Joey ,/wiki/Pal_Joey_(film),False
1957,Silk Stockings ,/wiki/Silk_Stockings_(1957_film),False
1957,"Bell, Book and Candle ","/wiki/Bell,_Book_and_Candle_(film)",False
1957,Indiscreet ,/wiki/Indiscreet_(1958_film),False
1957,Me and the Colonel,/wiki/Me_and_the_Colonel,False
1957,The Perfect Furlough,/wiki/The_Perfect_Furlough,False
1957,But Not for Me ,/wiki/But_Not_for_Me_(1959_film),False
1957,Operation Petticoat,/wiki/Operation_Petticoat,False
1957,Pillow Talk ,/wiki/Pillow_Talk_(film),False
1957,Who Was That Lady?,/wiki/Who_Was_That_Lady%3F,False
1957,The Facts of Life ,/wiki/The_Facts_of_Life_(film),False
1957,The Grass Is Greener,/wiki/The_Grass_Is_Greener,False
1957,It Started in Naples,/wiki/It_Started_in_Naples,False
1957,Our Man in Havana ,/wiki/Our_Man_in_Havana_(film),False
1957,Breakfast at Tiffany's ,/wiki/Breakfast_at_Tiffany%27s_(film),False
1957,"One, Two, Three","/wiki/One,_Two,_Three",False
1957,The Parent Trap ,/wiki/The_Parent_Trap_(1961_film),False
1957,Pocketful of Miracles,/wiki/Pocketful_of_Miracles,False
1957,The Best of Enemies ,/wiki/The_Best_of_Enemies_(1961_film),False
1957,Boys' Night Out ,/wiki/Boys%27_Night_Out_(film),False
1957,If a Man Answers,/wiki/If_a_Man_Answers,False
1957,Period of Adjustment ,/wiki/Period_of_Adjustment_(film),False
1963,Tom Jones ,/wiki/Tom_Jones_(1963_film),True
1963,Bye Bye Birdie ,/wiki/Bye_Bye_Birdie_(1963_film),False
1963,Irma la Douce,/wiki/Irma_la_Douce,False
1963,"It's a Mad, Mad, Mad, Mad World","/wiki/It%27s_a_Mad,_Mad,_Mad,_Mad_World",False
1963,A Ticklish Affair,/wiki/A_Ticklish_Affair,False
1963,Under the Yum Yum Tree,/wiki/Under_the_Yum_Yum_Tree,False
1964,My Fair Lady ,/wiki/My_Fair_Lady_(film),True
1964,Father Goose ,/wiki/Father_Goose_(film),False
1964,Mary Poppins ,/wiki/Mary_Poppins_(film),False
1964,The Unsinkable Molly Brown ,/wiki/The_Unsinkable_Molly_Brown_(film),False
1964,The World of Henry Orient,/wiki/The_World_of_Henry_Orient,False
1964,Cat Ballou,/wiki/Cat_Ballou,False
1964,The Great Race,/wiki/The_Great_Race,False
1964,Those Magnificent Men in their Flying Machines,/wiki/Those_Magnificent_Men_in_their_Flying_Machines,False
1964,A Thousand Clowns,/wiki/A_Thousand_Clowns,False
1964,A Funny Thing Happened on the Way to the Forum ,/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film),False
1964,Gambit ,/wiki/Gambit_(1966_film),False
1964,"Not with My Wife, You Don't!","/wiki/Not_with_My_Wife,_You_Don%27t!",False
1964,You're a Big Boy Now,/wiki/You%27re_a_Big_Boy_Now,False
1967,The Graduate,/wiki/The_Graduate,True
1967,Camelot ,/wiki/Camelot_(film),False
1967,Doctor Dolittle ,/wiki/Doctor_Dolittle_(1967_film),False
1967,The Taming of the Shrew ,/wiki/The_Taming_of_the_Shrew_(1967_film),False
1967,Thoroughly Modern Millie,/wiki/Thoroughly_Modern_Millie,False
1968,Oliver! ,/wiki/Oliver!_(film),True
1968,Finian's Rainbow ,/wiki/Finian%27s_Rainbow_(1968_film),False
1968,Funny Girl ,/wiki/Funny_Girl_(film),False
1968,The Odd Couple ,/wiki/The_Odd_Couple_(film),False
1968,"Yours, Mine and Ours ","/wiki/Yours,_Mine_and_Ours_(1968_film)",False
1969,The Secret of Santa Vittoria,/wiki/The_Secret_of_Santa_Vittoria,True
1969,Cactus Flower ,/wiki/Cactus_Flower_(film),False
1969,"Goodbye, Columbus ","/wiki/Goodbye,_Columbus_(film)",False
1969,"Hello, Dolly! ","/wiki/Hello,_Dolly!_(film)",False
1969,Paint Your Wagon ,/wiki/Paint_Your_Wagon_(film),False
1970,MASH ,/wiki/MASH_(film),True
1970,Darling Lili,/wiki/Darling_Lili,False
1970,Diary of a Mad Housewife,/wiki/Diary_of_a_Mad_Housewife,False
1970,Lovers and Other Strangers,/wiki/Lovers_and_Other_Strangers,False
1970,Scrooge ,/wiki/Scrooge_(1970_film),False
1970,The Boy Friend ,/wiki/The_Boy_Friend_(1971_film),False
1970,Kotch,/wiki/Kotch,False
1970,A New Leaf ,/wiki/A_New_Leaf_(film),False
1970,Plaza Suite ,/wiki/Plaza_Suite_(film),False
1972,Cabaret ,/wiki/Cabaret_(1972_film),True
1972,Avanti!,/wiki/Avanti!,False
1972,Butterflies Are Free,/wiki/Butterflies_Are_Free,False
1972,1776 ,/wiki/1776_(film),False
1972,Travels with My Aunt ,/wiki/Travels_with_My_Aunt_(film),False
1973,American Graffiti,/wiki/American_Graffiti,True
1973,Jesus Christ Superstar ,/wiki/Jesus_Christ_Superstar_(film),False
1973,Paper Moon ,/wiki/Paper_Moon_(film),False
1973,Tom Sawyer ,/wiki/Tom_Sawyer_(1973_film),False
1973,A Touch of Class ,/wiki/A_Touch_of_Class_(film),False
1974,The Longest Yard ,/wiki/The_Longest_Yard_(1974_film),True
1974,The Front Page ,/wiki/The_Front_Page_(1974_film),False
1974,Harry and Tonto,/wiki/Harry_and_Tonto,False
1974,The Little Prince ,/wiki/The_Little_Prince_(1974_film),False
1974,The Three Musketeers ,/wiki/The_Three_Musketeers_(1973_live-action_film),False
1975,The Sunshine Boys ,/wiki/The_Sunshine_Boys_(1975_film),True
1975,Funny Lady,/wiki/Funny_Lady,False
1975,The Return of the Pink Panther,/wiki/The_Return_of_the_Pink_Panther,False
1975,Shampoo ,/wiki/Shampoo_(film),False
1975,Tommy ,/wiki/Tommy_(1975_film),False
1976,A Star Is Born ,/wiki/A_Star_Is_Born_(1976_film),True
1976,Bugsy Malone,/wiki/Bugsy_Malone,False
1976,The Pink Panther Strikes Again,/wiki/The_Pink_Panther_Strikes_Again,False
1976,The Ritz ,/wiki/The_Ritz_(film),False
1976,Silent Movie,/wiki/Silent_Movie,False
1977,The Goodbye Girl,/wiki/The_Goodbye_Girl,True
1977,Annie Hall,/wiki/Annie_Hall,False
1977,High Anxiety,/wiki/High_Anxiety,False
1977,"New York, New York ","/wiki/New_York,_New_York_(1977_film)",False
1977,Saturday Night Fever,/wiki/Saturday_Night_Fever,False
1978,Heaven Can Wait ,/wiki/Heaven_Can_Wait_(1978_film),True
1978,California Suite ,/wiki/California_Suite_(film),False
1978,Foul Play ,/wiki/Foul_Play_(1978_film),False
1978,Grease ,/wiki/Grease_(film),False
1978,Movie Movie,/wiki/Movie_Movie,False
1979,Breaking Away,/wiki/Breaking_Away,True
1979,Being There,/wiki/Being_There,False
1979,Hair ,/wiki/Hair_(film),False
1979,The Rose ,/wiki/The_Rose_(film),False
1979,10 ,/wiki/10_(film),False
1980,Coal Miner's Daughter ,/wiki/Coal_Miner%27s_Daughter_(film),True
1980,Airplane!,/wiki/Airplane!,False
1980,Fame ,/wiki/Fame_(1980_film),False
1980,The Idolmaker,/wiki/The_Idolmaker,False
1980,Melvin and Howard,/wiki/Melvin_and_Howard,False
