year,film,wiki,winner
1943,The Song of Bernadette ,/wiki/The_Song_of_Bernadette_(film),True
1944,Going My Way,/wiki/Going_My_Way,True
1945,The Lost Weekend ,/wiki/The_Lost_Weekend_(film),True
1946,The Best Years of Our Lives,/wiki/The_Best_Years_of_Our_Lives,True
1947,Gentleman's Agreement,/wiki/Gentleman%27s_Agreement,True
1948,Johnny Belinda ,/wiki/Johnny_Belinda_(1948_film),True
1948,The Treasure of the Sierra Madre ,/wiki/The_Treasure_of_the_Sierra_Madre_(film),True
1949,All the King's Men ,/wiki/All_the_King%27s_Men_(1949_film),True
1949,Come to the Stable,/wiki/Come_to_the_Stable,False
1950,Sunset Boulevard ,/wiki/Sunset_Boulevard_(1950_film),True
1950,All About Eve,/wiki/All_About_Eve,False
1950,Born Yesterday ,/wiki/Born_Yesterday_(1950_film),False
1950,Cyrano de Bergerac ,/wiki/Cyrano_de_Bergerac_(1950_film),False
1950,Harvey ,/wiki/Harvey_(1950_film),False
1951,A Place in the Sun ,/wiki/A_Place_in_the_Sun_(1951_film),True
1951,Bright Victory,/wiki/Bright_Victory,False
1951,Detective Story ,/wiki/Detective_Story_(1951_film),False
1951,Quo Vadis ,/wiki/Quo_Vadis_(1951_film),False
1951,A Streetcar Named Desire ,/wiki/A_Streetcar_Named_Desire_(1951_film),False
1952,The Greatest Show on Earth ,/wiki/The_Greatest_Show_on_Earth_(film),True
1952,"Come Back, Little Sheba ","/wiki/Come_Back,_Little_Sheba_(1952_film)",False
1952,The Happy Time,/wiki/The_Happy_Time,False
1952,High Noon,/wiki/High_Noon,False
1952,The Thief ,/wiki/The_Thief_(1952_film),False
1953,The Robe ,/wiki/The_Robe_(film),True
1954,On the Waterfront,/wiki/On_the_Waterfront,True
1955,East of Eden ,/wiki/East_of_Eden_(film),True
1956,Around the World in 80 Days ,/wiki/Around_the_World_in_80_Days_(1956_film),True
1956,Giant ,/wiki/Giant_(1956_film),False
1956,Lust for Life ,/wiki/Lust_for_Life_(1956_film),False
1956,The Rainmaker ,/wiki/The_Rainmaker_(1956_film),False
1956,War and Peace ,/wiki/War_and_Peace_(1956_film),False
1957,The Bridge on the River Kwai,/wiki/The_Bridge_on_the_River_Kwai,True
1957,12 Angry Men ,/wiki/12_Angry_Men_(1957_film),False
1957,Sayonara,/wiki/Sayonara,False
1957,Wild Is the Wind,/wiki/Wild_Is_the_Wind,False
1957,Witness for the Prosecution ,/wiki/Witness_for_the_Prosecution_(1957_film),False
1958,The Defiant Ones ,/wiki/The_Defiant_Ones_(film),True
1958,Cat on a Hot Tin Roof ,/wiki/Cat_on_a_Hot_Tin_Roof_(1958_film),False
1958,Home Before Dark ,/wiki/Home_Before_Dark_(film),False
1958,I Want to Live!,/wiki/I_Want_to_Live!,False
1958,Separate Tables ,/wiki/Separate_Tables_(film),False
1959,Ben-Hur ,/wiki/Ben-Hur_(1959_film),True
1959,Anatomy of a Murder,/wiki/Anatomy_of_a_Murder,False
1959,The Diary of Anne Frank ,/wiki/The_Diary_of_Anne_Frank_(1959_film),False
1959,The Nun's Story ,/wiki/The_Nun%27s_Story_(film),False
1959,On the Beach ,/wiki/On_the_Beach_(1959_film),False
1960,Spartacus ,/wiki/Spartacus_(film),True
1960,Elmer Gantry ,/wiki/Elmer_Gantry_(film),False
1960,Inherit the Wind ,/wiki/Inherit_the_Wind_(1960_film),False
1960,Sons and Lovers ,/wiki/Sons_and_Lovers_(film),False
1960,Sunrise at Campobello,/wiki/Sunrise_at_Campobello,False
1961,The Guns of Navarone ,/wiki/The_Guns_of_Navarone_(film),True
1961,El Cid ,/wiki/El_Cid_(film),False
1961,Fanny ,/wiki/Fanny_(1961_film),False
1961,Judgment at Nuremberg,/wiki/Judgment_at_Nuremberg,False
1961,Splendor in the Grass,/wiki/Splendor_in_the_Grass,False
1962,Lawrence of Arabia ,/wiki/Lawrence_of_Arabia_(film),True
1962,The Chapman Report,/wiki/The_Chapman_Report,False
1962,Days of Wine and Roses ,/wiki/Days_of_Wine_and_Roses_(film),False
1962,Freud: The Secret Passion,/wiki/Freud:_The_Secret_Passion,False
1962,Hemingway's Adventures of a Young Man,/wiki/Hemingway%27s_Adventures_of_a_Young_Man,False
1962,The Inspector ,/wiki/The_Inspector_(1962_film),False
1962,The Longest Day ,/wiki/The_Longest_Day_(film),False
1962,The Miracle Worker ,/wiki/The_Miracle_Worker_(1962_film),False
1962,Mutiny on the Bounty ,/wiki/Mutiny_on_the_Bounty_(1962_film),False
1962,To Kill a Mockingbird ,/wiki/To_Kill_a_Mockingbird_(film),False
1963,The Cardinal,/wiki/The_Cardinal,True
1963,America America,/wiki/America_America,False
1963,"Captain Newman, M.D.","/wiki/Captain_Newman,_M.D.",False
1963,The Caretakers,/wiki/The_Caretakers,False
1963,Cleopatra ,/wiki/Cleopatra_(1963_film),False
1963,The Great Escape ,/wiki/The_Great_Escape_(film),False
1963,Hud ,/wiki/Hud_(1963_film),False
1963,Lilies of the Field ,/wiki/Lilies_of_the_Field_(1963_film),False
1964,Becket ,/wiki/Becket_(1964_film),True
1964,The Chalk Garden ,/wiki/The_Chalk_Garden_(film),False
1964,Dear Heart,/wiki/Dear_Heart,False
1964,The Night of the Iguana ,/wiki/The_Night_of_the_Iguana_(film),False
1964,Zorba the Greek ,/wiki/Zorba_the_Greek_(film),False
1965,Doctor Zhivago ,/wiki/Doctor_Zhivago_(film),True
1965,The Collector ,/wiki/The_Collector_(1965_film),False
1965,The Flight of the Phoenix ,/wiki/The_Flight_of_the_Phoenix_(1965_film),False
1965,A Patch of Blue,/wiki/A_Patch_of_Blue,False
1965,Ship of Fools ,/wiki/Ship_of_Fools_(film),False
1965,A Man for All Seasons ,/wiki/A_Man_for_All_Seasons_(1966_film),True
1965,Born Free,/wiki/Born_Free,False
1965,The Professionals ,/wiki/The_Professionals_(1966_film),False
1965,The Sand Pebbles ,/wiki/The_Sand_Pebbles_(film),False
1965,Who's Afraid of Virginia Woolf? ,/wiki/Who%27s_Afraid_of_Virginia_Woolf%3F_(film),False
1967,In the Heat of the Night ,/wiki/In_the_Heat_of_the_Night_(film),True
1967,Bonnie and Clyde ,/wiki/Bonnie_and_Clyde_(film),False
1967,Far from the Madding Crowd ,/wiki/Far_from_the_Madding_Crowd_(1967_film),False
1967,Guess Who's Coming to Dinner,/wiki/Guess_Who%27s_Coming_to_Dinner,False
1967,In Cold Blood ,/wiki/In_Cold_Blood_(film),False
1968,The Lion in Winter ,/wiki/The_Lion_in_Winter_(1968_film),True
