year,film,wiki,nominations
2013,12 Years a Slave,/wiki/12_Years_a_Slave_(film),9
2019,1917,/wiki/1917_(2019_film),10
2013,20 Feet from Stardom,/wiki/20_Feet_from_Stardom,1
1954,"20,000 Leagues Under the Sea","/wiki/20,000_Leagues_Under_the_Sea_(1954_film)",3
1968,2001: A Space Odyssey,/wiki/2001:_A_Space_Odyssey_(film),4
1964,7 Faces of Dr. Lao,/wiki/7_Faces_of_Dr._Lao,1
1927  /  28,7th Heaven,/wiki/7th_Heaven_(1927_film),5
2002,8 Mile,/wiki/8_Mile_(film),1
2001,A Beautiful Mind,/wiki/A_Beautiful_Mind_(film),8
1946,A Boy and His Dog,/wiki/A_Boy_and_His_Dog_(1946_film),1
1949,A Chance to Live,/wiki/A_Chance_to_Live,1
1972,A Christmas Carol,/wiki/A_Christmas_Carol_(1971_film),1
1995,A Close Shave,/wiki/A_Close_Shave,1
1937,A Damsel in Distress,/wiki/A_Damsel_in_Distress_(1937_film),2
1947,A Double Life,/wiki/A_Double_Life_(1947_film),4
2017,A Fantastic Woman,/wiki/A_Fantastic_Woman,1
1932  /  33,A Farewell to Arms,/wiki/A_Farewell_to_Arms_(1932_film),4
1988,A Fish Called Wanda,/wiki/A_Fish_Called_Wanda,3
1930  /  31,A Free Soul,/wiki/A_Free_Soul,3
1966,A Funny Thing Happened on the Way to the Forum,/wiki/A_Funny_Thing_Happened_on_the_Way_to_the_Forum_(film),1
2015,A Girl in the River: The Price of Forgiveness,/wiki/A_Girl_in_the_River:_The_Price_of_Forgiveness,1
1986,A Greek Tragedy,/wiki/A_Greek_Tragedy,1
1966,A Herb Alpert and the Tijuana Brass Double Feature,/wiki/A_Herb_Alpert_and_the_Tijuana_Brass_Double_Feature,1
1959,A Hole in the Head,/wiki/A_Hole_in_the_Head,1
1949,A Letter to Three Wives,/wiki/A_Letter_to_Three_Wives,3
1977,A Little Night Music,/wiki/A_Little_Night_Music_(film),2
1979,A Little Romance,/wiki/A_Little_Romance,2
1966,A Man and a Woman,/wiki/A_Man_and_a_Woman,4
1966,A Man for All Seasons,/wiki/A_Man_for_All_Seasons_(1966_film),8
1935,A Midsummer Night's Dream,/wiki/A_Midsummer_Night%27s_Dream_(1935_film),4
2005,A Note of Triumph: The Golden Age of Norman Corwin,/wiki/A_Note_of_Triumph:_The_Golden_Age_of_Norman_Corwin,1
1984,A Passage to India,/wiki/A_Passage_to_India_(film),11
1965,A Patch of Blue,/wiki/A_Patch_of_Blue,5
1951,A Place in the Sun,/wiki/A_Place_in_the_Sun_(1951_film),9
1967,A Place to Stand,/wiki/A_Place_to_Stand_(film),2
1992,A River Runs Through It,/wiki/A_River_Runs_Through_It_(film),3
1986,A Room with a View,/wiki/A_Room_with_a_View_(1985_film),8
2011,A Separation,/wiki/A_Separation,2
1982,A Shocking Accident,/wiki/A_Shocking_Accident,1
2018,A Star Is Born,/wiki/A_Star_Is_Born_(2018_film),8
1997,A Story of Healing,/wiki/A_Story_of_Healing,1
1951,A Streetcar Named Desire,/wiki/A_Streetcar_Named_Desire_(1951_film),12
1965,A Thousand Clowns,/wiki/A_Thousand_Clowns,4
