year,film,wiki,winner
1995,Apollo 13 (film),/wiki/Apollo_13_(film),True
1995,Get Shorty (film),/wiki/Get_Shorty_(film),False
1995,How to Make an American Quilt,/wiki/How_to_Make_an_American_Quilt,False
1995,Nixon (film),/wiki/Nixon_(film),False
1995,Sense and Sensibility (film),/wiki/Sense_and_Sensibility_(film),False
1996,The Birdcage,/wiki/The_Birdcage,True
1996,The English Patient (film),/wiki/The_English_Patient_(film),False
1996,Marvin's Room (film),/wiki/Marvin%27s_Room_(film),False
1996,Shine (film),/wiki/Shine_(film),False
1996,Sling Blade (film),/wiki/Sling_Blade_(film),False
1997,The Full Monty,/wiki/The_Full_Monty,True
1997,Boogie Nights,/wiki/Boogie_Nights,False
1997,Good Will Hunting,/wiki/Good_Will_Hunting,False
1997,L.A. Confidential (film),/wiki/L.A._Confidential_(film),False
1997,Titanic (1997 film),/wiki/Titanic_(1997_film),False
1998,Shakespeare in Love,/wiki/Shakespeare_in_Love,True
1998,Life Is Beautiful,/wiki/Life_Is_Beautiful,False
1998,Little Voice (film),/wiki/Little_Voice_(film),False
1998,Saving Private Ryan,/wiki/Saving_Private_Ryan,False
1998,Waking Ned,/wiki/Waking_Ned,False
1999,American Beauty (1999 film),/wiki/American_Beauty_(1999_film),True
1999,Being John Malkovich,/wiki/Being_John_Malkovich,False
1999,The Cider House Rules (film),/wiki/The_Cider_House_Rules_(film),False
1999,The Green Mile (film),/wiki/The_Green_Mile_(film),False
1999,Magnolia (film),/wiki/Magnolia_(film),False
2000,Traffic (2000 film),/wiki/Traffic_(2000_film),True
2000,Almost Famous,/wiki/Almost_Famous,False
2000,Billy Elliot,/wiki/Billy_Elliot,False
2000,Chocolat (2000 film),/wiki/Chocolat_(2000_film),False
2000,Gladiator (2000 film),/wiki/Gladiator_(2000_film),False
2001,Gosford Park,/wiki/Gosford_Park,True
2001,A Beautiful Mind (film),/wiki/A_Beautiful_Mind_(film),False
2001,In the Bedroom,/wiki/In_the_Bedroom,False
2001,The Lord of the Rings: The Fellowship of the Ring,/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,False
2001,Moulin Rouge!,/wiki/Moulin_Rouge!,False
