;Writing;Best Picture;Acting;Directing;Film Editing;Music;Cinematography;Sound;Production Design;Costume;Makeup and Hairstyling;VFX;
Everything Everywhere All at Once;Won;Won;Won;Won;Won;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
All quiet on the Western Front;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
Avatar: The Way of Water;Not nominated;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Nominated;Nominated;Not nominated;Not nominated;Won;
The Banshees of Inisherin;Nominated;Nominated;Nominated;Nominated;Nominated;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
Elvis;Not nominated;Nominated;Nominated;Not nominated;Nominated;Not nominated;Nominated;Nominated;Nominated;Not nominated;Not nominated;Not nominated;
The Fablemans;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
Tar;Nominated;Nominated;Nominated;Nominated;Nominated;Not nominated;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
Top Gun: Maverick;Nominated;Nominated;Not nominated;Not nominated;Nominated;Nominated;Not nominated;Won;Not nominated;Not nominated;Not nominated;Nominated;
Triangle of Sadness;Nominated;Nominated;Not nominated;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
Women Talking;Won;Nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;Not nominated;
